frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,0.8437500000000002,52.94652957916261,53.79027957916261,-0.5,3456,0
1,24.796949386596687,52.86187343597413,77.65882282257081,-2.5805492401123047,3456,0
2,851.7559814453127,52.40886306762697,904.1648445129397,-13.927669525146484,3456,0
3,27844.906250000007,49.74740495681764,27894.653654956826,-77.87644958496094,3456,0
4,200459.90625000006,40.05248212814332,200499.9587321282,-213.2185821533203,3456,558
5,550803.5625000001,21.402286577224736,550824.9647865774,-339.1083679199219,3456,2527
6,240703.71875000006,7.3977697849273705,240711.116519785,-174.58677673339844,3456,3425
7,36534.15234375001,1.9700886070728307,36536.12243235708,-25.83183479309082,3456,3431
8,27058.519531250007,1.3974344372749332,27059.916965687284,-10.462038040161133,3456,3431
9,29065.220703125007,1.1998240441083912,29066.420527169117,-6.696062088012695,3456,3431
10,49643.910156250015,1.2543686628341677,49645.16452491285,-3.8446943759918213,3456,3431
11,492544.1250000001,1.3003932267427447,492545.42539322685,-0.9751722812652588,3456,3431
12,55060252.000000015,1.3052601605653766,55060253.305260174,46.08959197998047,3456,3431
13,5637974528.000001,1.310304814577103,5637974529.310306,511.5048522949219,3456,3431
14,570079838208.0001,1.315862184762955,570079838209.316,5187.3740234375,3456,3431
15,57569661943808.016,1.3227442055940632,57569661943809.336,52172.12109375,3456,3431
16,5812940808650753.0,1.331650805473328,5812940808650754.0,524296.125,3456,3431
17,5.869393729940358e+17,1.34472149014473,5.869393729940358e+17,5268326.0,3456,3431
18,5.926386145507988e+19,1.3722694337368015,5.926386145507988e+19,52938324.0,3456,3431
19,5.983935639636946e+21,1.4585183411836629,5.983935639636946e+21,531946528.0,3456,3431
20,6.04203214238402e+23,1.6757144629955296,6.04203214238402e+23,5345227776.0,3456,3430
21,6.100694287336373e+25,2.2115046173334125,6.100694287336373e+25,53711155200.0,3456,3373
22,6.159930398118892e+27,2.8528713703155524,6.159930398118892e+27,539712913408.0,3456,3372
23,6.219744269780238e+29,3.513274919986726,6.219744269780238e+29,5423264956416.0,3456,3354
24,6.280137519140634e+31,4.912659168243409,6.280137519140634e+31,54495295832064.0,3456,3283
25,6.341117594392055e+33,7.439452397823335,6.341117594392055e+33,547592526102528.0,3456,3273
26,inf,10.878352952003482,inf,5502444737921024.0,3456,3028
27,inf,15.69498889446259,inf,5.529091788767232e+16,3456,2689
28,inf,20.49470505714417,inf,5.555867989280031e+17,3456,2474
29,inf,23.257240247726447,inf,5.810148744900903e+18,3456,2199
30,inf,26.05833005905152,inf,5.838271283658018e+19,3456,2116
31,inf,28.822437715530402,inf,5.866530315788605e+20,3456,1990
32,inf,32.10674419403077,inf,5.8949191782522e+21,3456,1876
33,inf,35.74129467010499,inf,5.923447680451741e+22,3456,1474
34,inf,38.53697781562806,inf,6.0163151473598527e+23,3456,1411
35,inf,40.17616720199586,inf,6.227070855726647e+24,3456,1369
36,inf,41.730113983154304,inf,6.2573947665565155e+25,3456,1345
37,inf,43.64681673049928,inf,6.287780796797052e+26,3456,1338
38,inf,46.2591522216797,inf,6.318300861080028e+27,3456,936
39,inf,49.717366886138926,inf,6.348901087534051e+28,3456,774
40,inf,54.85614337921144,inf,6.379635287525193e+29,3456,500
41,inf,57.06182003021242,inf,6.410533466970086e+30,3456,491
42,inf,58.690175056457534,inf,6.935886447208295e+31,3456,344
43,inf,58.75264844894411,inf,6.970602831470938e+32,3456,344
44,inf,58.773064804077165,inf,7.004851525855303e+33,3456,344
45,inf,58.78602771759034,inf,7.039377673550972e+34,3456,343
46,nan,nan,nan,nan,3456,343
47,nan,nan,nan,nan,3456,343
48,nan,nan,nan,nan,3456,342
49,nan,nan,nan,nan,3456,342
50,nan,nan,nan,nan,3456,342
51,nan,nan,nan,nan,3456,342
52,nan,nan,nan,nan,3456,342
53,nan,nan,nan,nan,3456,342
54,nan,nan,nan,nan,3456,342
55,nan,nan,nan,nan,3456,342
56,nan,nan,nan,nan,3456,339
57,nan,nan,nan,nan,3456,325
58,nan,nan,nan,nan,3456,325
59,nan,nan,nan,nan,3456,325
60,nan,nan,nan,nan,3456,324
61,nan,nan,nan,nan,3456,324
62,nan,nan,nan,nan,3456,321
63,nan,nan,nan,nan,3456,321
64,nan,nan,nan,nan,3456,321
65,nan,nan,nan,nan,3456,321
66,nan,nan,nan,nan,3456,321
67,nan,nan,nan,nan,3456,321
68,nan,nan,nan,nan,3456,321
69,nan,nan,nan,nan,3456,321
70,nan,nan,nan,nan,3456,318
71,nan,nan,nan,nan,3456,317
72,nan,nan,nan,nan,3456,317
73,nan,nan,nan,nan,3456,317
74,nan,nan,nan,nan,3456,317
75,nan,nan,nan,nan,3456,317
76,nan,nan,nan,nan,3456,317
77,nan,nan,nan,nan,3456,317
78,nan,nan,nan,nan,3456,317
79,nan,nan,nan,nan,3456,317
80,nan,nan,nan,nan,3456,317
81,nan,nan,nan,nan,3456,317
82,nan,nan,nan,nan,3456,317
83,nan,nan,nan,nan,3456,317
84,nan,nan,nan,nan,3456,317
85,nan,nan,nan,nan,3456,317
86,nan,nan,nan,nan,3456,317
87,nan,nan,nan,nan,3456,317
88,nan,nan,nan,nan,3456,317
89,nan,nan,nan,nan,3456,317
90,nan,nan,nan,nan,3456,334
91,nan,nan,nan,nan,3456,334
92,nan,nan,nan,nan,3456,334
93,nan,nan,nan,nan,3456,322
94,nan,nan,nan,nan,3456,322
95,nan,nan,nan,nan,3456,322
96,nan,nan,nan,nan,3456,322
97,nan,nan,nan,nan,3456,322
98,nan,nan,nan,nan,3456,322
99,nan,nan,nan,nan,3456,322
100,nan,nan,nan,nan,3456,321
101,nan,nan,nan,nan,3456,321
102,nan,nan,nan,nan,3456,321
103,nan,nan,nan,nan,3456,328
104,nan,nan,nan,nan,3456,328
105,nan,nan,nan,nan,3456,328
106,nan,nan,nan,nan,3456,328
107,nan,nan,nan,nan,3456,344
108,nan,nan,nan,nan,3456,344
109,nan,nan,nan,nan,3456,344
110,nan,nan,nan,nan,3456,344
111,nan,nan,nan,nan,3456,344
112,nan,nan,nan,nan,3456,344
113,nan,nan,nan,nan,3456,344
114,nan,nan,nan,nan,3456,344
115,nan,nan,nan,nan,3456,344
116,nan,nan,nan,nan,3456,344
117,nan,nan,nan,nan,3456,344
118,nan,nan,nan,nan,3456,344
119,nan,nan,nan,nan,3456,344
120,nan,nan,nan,nan,3456,344
121,nan,nan,nan,nan,3456,344
122,nan,nan,nan,nan,3456,344
123,nan,nan,nan,nan,3456,344
124,nan,nan,nan,nan,3456,344
125,nan,nan,nan,nan,3456,344
126,nan,nan,nan,nan,3456,344
127,nan,nan,nan,nan,3456,344
128,nan,nan,nan,nan,3456,344
129,nan,nan,nan,nan,3456,344
130,nan,nan,nan,nan,3456,345
131,nan,nan,nan,nan,3456,345
132,nan,nan,nan,nan,3456,325
133,nan,nan,nan,nan,3456,325
134,nan,nan,nan,nan,3456,325
135,nan,nan,nan,nan,3456,325
136,nan,nan,nan,nan,3456,325
137,nan,nan,nan,nan,3456,325
138,nan,nan,nan,nan,3456,325
139,nan,nan,nan,nan,3456,325
140,nan,nan,nan,nan,3456,325
141,nan,nan,nan,nan,3456,325
142,nan,nan,nan,nan,3456,325
143,nan,nan,nan,nan,3456,325
144,nan,nan,nan,nan,3456,325
145,nan,nan,nan,nan,3456,325
146,nan,nan,nan,nan,3456,325
147,nan,nan,nan,nan,3456,325
148,nan,nan,nan,nan,3456,325
149,nan,nan,nan,nan,3456,325
