frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,0.8437500000000002,52.93031892776491,53.77406892776491,-0.5,3456,0
1,24.288070678710945,52.84634504318239,77.13441572189333,-2.5487589836120605,3456,0
2,838.4285888671877,52.400909614563,890.8294984817508,-13.644371032714844,3456,0
3,26563.113281250007,49.81556072235109,26612.92884197236,-75.24755096435547,3456,0
4,191060.67187500003,40.399938678741464,191101.07181367878,-209.72718811035156,3456,606
5,462309.8750000001,22.381610393524177,462332.25661039364,-311.83746337890625,3456,2558
6,184139.46875000003,7.7461480855941796,184147.21489808563,-153.15509033203125,3456,3380
7,35501.33593750001,2.5047716975212104,35503.84070919753,-33.12733459472656,3456,3417
8,30614.078125000007,1.7283703118562703,30615.806495311863,-8.209202766418457,3456,3417
9,321341.40625000006,1.48746409714222,321342.8937140972,-3.2918431758880615,3456,3417
10,2094648.7500000005,1.5267805635929113,2094650.276780564,7.727121829986572,3456,3417
11,4356547.500000001,1.5604803711175923,4356549.060480372,24.407508850097656,3456,3417
12,8547852.000000002,1.5688673913478854,8547853.568867393,53.12548065185547,3456,3417
13,15361640.000000004,1.5742010414600376,15361641.574201046,84.62837982177734,3456,3417
14,25510352.000000007,1.5804479718208317,25510353.58044798,119.28459930419922,3456,3417
15,39870552.00000001,1.5879795402288441,39870553.58797955,157.36843872070312,3456,3417
16,59518064.000000015,1.602250456809998,59518065.60225047,199.3518524169922,3456,3417
17,85770912.00000001,1.6393795192241674,85770913.63937953,245.77622985839844,3456,3417
18,120240976.00000003,1.7190007925033575,120240977.71900082,296.7967834472656,3456,3417
19,164896528.00000003,1.8432038396596913,164896529.84320387,352.91265869140625,3456,3399
20,222138144.00000006,2.0284484416246418,222138146.0284485,414.88165283203125,3456,3399
21,294893088.00000006,2.3230985850095753,294893090.32309866,485.0444030761719,3456,3391
22,386728288.00000006,2.8538746058940894,386728290.8538747,565.0960083007812,3456,3391
