frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,125.0,7837.497961425782,7962.497961425782,-0.5,16000,0
1,140.13218688964844,7822.322436523438,7962.454623413087,-0.5294000506401062,16000,0
2,156.1287078857422,7806.282592773438,7962.411300659181,-0.5587999224662781,16000,0
3,172.98959350585938,7789.37783203125,7962.36742553711,-0.588200032711029,16000,0
4,190.71484375,7771.609350585938,7962.324194335938,-0.6175998449325562,16000,0
5,209.304443359375,7752.9765502929695,7962.2809936523445,-0.6469998955726624,16000,0
6,228.75836181640625,7733.480627441407,7962.238989257813,-0.676399827003479,16000,0
7,249.07667541503906,7713.118591308595,7962.195266723634,-0.7057998180389404,16000,0
8,270.25933837890625,7691.892834472656,7962.152172851563,-0.7351998090744019,16000,0
9,292.3063659667969,7669.802160644532,7962.108526611329,-0.7645997405052185,16000,0
10,315.2177734375,7646.847766113282,7962.065539550782,-0.7939997315406799,16000,0
11,338.99346923828125,7623.027856445313,7962.021325683594,-0.823399543762207,16000,0
12,363.633544921875,7598.345422363282,7961.978967285157,-0.8527995347976685,16000,0
13,389.1379699707031,7572.798071289063,7961.936041259766,-0.8821994662284851,16000,0
14,415.50677490234375,7546.386401367188,7961.893176269532,-0.911599338054657,16000,0
15,442.7399597167969,7519.109814453125,7961.849774169922,-0.9409993290901184,16000,0
16,470.83746337890625,7490.968908691407,7961.806372070313,-0.9703993201255798,16000,0
17,499.79931640625,7461.963684082032,7961.763000488282,-0.9997993111610413,16000,0
18,529.6260375976562,7432.093542480469,7961.719580078126,-1.0291997194290161,16000,0
19,560.3172607421875,7401.359680175782,7961.67694091797,-1.0586003065109253,16000,0
20,591.8729248046875,7369.761499023438,7961.634423828125,-1.088000774383545,16000,0
21,624.29296875,7337.298999023438,7961.591967773438,-1.117401361465454,16000,0
22,657.577392578125,7303.972180175781,7961.549572753906,-1.1468018293380737,16000,0
23,691.7260131835938,7269.780444335938,7961.506457519532,-1.176202654838562,16000,0
24,726.7392578125,7234.725585937501,7961.464843750001,-1.205602765083313,16000,0
25,762.61669921875,7198.804614257813,7961.421313476563,-1.2350034713745117,16000,0
26,799.3587036132812,7162.019921875,7961.378625488282,-1.264404058456421,16000,0
27,836.9651489257812,7124.370910644532,7961.336059570313,-1.293804407119751,16000,0
28,875.4359130859375,7085.857580566407,7961.293493652344,-1.3232052326202393,16000,0
29,914.7710571289062,7046.479931640625,7961.250988769531,-1.3526058197021484,16000,0
30,954.9705810546875,7006.238562011719,7961.209143066407,-1.382006049156189,16000,0
31,996.034423828125,6965.132275390625,7961.16669921875,-1.4114068746566772,16000,0
32,1037.9627685546875,6923.161669921876,7961.124438476563,-1.4408073425292969,16000,0
33,1080.75537109375,6880.326147460938,7961.081518554688,-1.4702075719833374,16000,0
34,1124.41259765625,6836.626904296875,7961.039501953125,-1.4996083974838257,16000,0
35,1168.93408203125,6792.062744140626,7960.996826171876,-1.5290087461471558,16000,0
36,1214.31982421875,6746.6342651367195,7960.9540893554695,-1.558409333229065,16000,0
37,1260.5701904296875,6700.340869140626,7960.911059570313,-1.5878099203109741,16000,0
38,1307.6845703125,6653.183752441407,7960.868322753907,-1.6172101497650146,16000,0
39,1355.663818359375,6605.162915039063,7960.826733398438,-1.6466106176376343,16000,0
40,1404.5069580078125,6556.277758789063,7960.784716796876,-1.6760116815567017,16000,0
41,1454.215087890625,6506.527685546876,7960.742773437501,-1.7054119110107422,16000,0
42,1504.787109375,6455.913293457032,7960.700402832032,-1.7348122596740723,16000,0
43,1555.580810546875,6404.436376953126,7960.017187500001,-1.7638477087020874,16000,0
44,1587.1773681640625,6352.23211669922,7939.409484863282,-1.7815454006195068,16000,0
45,1534.872802734375,6300.173205566407,7835.046008300782,-1.7501612901687622,16000,0
46,1314.791015625,6250.667773437501,7565.458789062501,-1.6088262796401978,16000,0
47,932.6508178710938,6207.724584960938,7140.375402832032,-1.316251277923584,16000,0
48,530.9232788085938,6175.643701171875,6706.566979980469,-0.8916462063789368,16000,0
49,261.10284423828125,6157.253747558594,6418.356591796875,-0.4045553207397461,16000,0
50,147.08029174804688,6153.092456054688,6300.172747802735,0.06617861986160278,16000,0
51,157.62721252441406,6161.712915039063,6319.340127563477,0.4658433198928833,16000,0
52,326.36529541015625,6180.620263671875,6506.985559082032,0.7745522856712341,16000,0
53,663.6600341796875,6207.2269287109375,6870.886962890625,1.000772476196289,16000,0
54,1035.078857421875,6239.404113769531,7274.482971191406,1.162606954574585,16000,0
55,1256.408935546875,6275.480004882813,7531.888940429688,1.272598147392273,16000,0
56,1255.841064453125,6314.035803222657,7569.876867675782,1.3364802598953247,16000,0
57,1117.3214111328125,6353.765161132813,7471.086572265625,1.3574246168136597,16000,0
58,992.4441528320312,6393.534594726563,7385.9787475585945,1.3454023599624634,16000,0
59,959.4057006835938,6432.684948730469,7392.090649414063,1.3193053007125854,16000,0
60,992.1396484375,6471.000292968751,7463.139941406251,1.2900422811508179,16000,0
61,1038.7598876953125,6508.451916503906,7547.211804199219,1.2606427669525146,16000,0
62,1043.0321044921875,6545.039819335938,7588.071923828125,1.2312425374984741,16000,0
63,982.0852661132812,6580.762805175782,7562.848071289063,1.2018425464630127,16000,0
64,877.6516723632812,6615.622070312501,7493.273742675782,1.1724424362182617,16000,0
65,756.800537109375,6649.615820312501,7406.416357421876,1.1430422067642212,16000,0
66,684.1556396484375,6682.745849609376,7366.901489257813,1.1136420965194702,16000,0
67,718.238037109375,6715.011560058594,7433.249597167969,1.0842419862747192,16000,0
68,812.4369506835938,6746.412951660157,7558.849902343751,1.0548416376113892,16000,0
69,853.6173095703125,6776.949426269532,7630.566735839844,1.0254415273666382,16000,0
70,759.6007080078125,6806.622778320313,7566.223486328126,0.9960414171218872,16000,0
71,572.8533325195312,6835.430615234375,7408.283947753906,0.9666413068771362,16000,0
72,447.5380554199219,6863.374133300782,7310.912188720704,0.9372410774230957,16000,0
73,482.2620544433594,6890.453930664063,7372.715985107422,0.9078410267829895,16000,0
74,615.3734130859375,6916.669409179688,7532.042822265626,0.8784409165382385,16000,0
75,688.1429443359375,6942.019970703125,7630.162915039063,0.8490408062934875,16000,0
76,611.073486328125,6966.506213378907,7577.579699707032,0.8196407556533813,16000,0
77,444.82183837890625,6990.128735351563,7434.950573730469,0.7902406454086304,16000,0
78,318.9555969238281,7012.886340332032,7331.84193725586,0.760840654373169,16000,0
79,327.07696533203125,7034.779626464844,7361.856591796875,0.7314406633377075,16000,0
80,424.4698181152344,7055.808593750001,7480.278411865235,0.7020406126976013,16000,0
81,482.6418151855469,7075.973840332032,7558.6156555175785,0.6726404428482056,16000,0
82,458.82769775390625,7095.272973632813,7554.100671386719,0.6432403326034546,16000,0
83,375.8920593261719,7113.709582519532,7489.601641845704,0.6138403415679932,16000,0
84,279.1291809082031,7131.280676269532,7410.409857177735,0.5844401717185974,16000,0
85,228.95069885253906,7147.987451171875,7376.938150024414,0.5550402402877808,16000,0
86,232.08245849609375,7163.831103515626,7395.9135620117195,0.5256401896476746,16000,0
87,278.3782043457031,7178.808642578126,7457.186846923829,0.49624010920524597,16000,0
88,341.19293212890625,7192.923059082032,7534.115991210938,0.46684008836746216,16000,0
89,347.55224609375,7206.17255859375,7553.7248046875,0.4374399483203888,16000,0
90,270.6512756347656,7218.5583374023445,7489.20961303711,0.408039927482605,16000,0
91,154.3013916015625,7230.079199218751,7384.380590820313,0.37863996624946594,16000,0
92,84.94256591796875,7240.7357421875,7325.678308105469,0.3492400050163269,16000,0
93,132.54156494140625,7250.527966308594,7383.06953125,0.3198400139808655,16000,0
94,251.5591278076172,7259.456469726563,7511.01559753418,0.29043999314308167,16000,0
95,320.9393615722656,7267.519458007813,7588.458819580079,0.2610399127006531,16000,0
96,256.7750244140625,7274.718725585938,7531.493750000001,0.23163986206054688,16000,0
97,109.33078002929688,7281.053076171876,7390.383856201172,0.20223985612392426,16000,0
98,23.668148040771484,7286.523706054688,7310.191854095459,0.17283987998962402,16000,0
99,63.70156478881836,7291.129418945313,7354.830983734131,0.1434399038553238,16000,0
100,179.93019104003906,7294.871411132813,7474.801602172852,0.11403993517160416,16000,0
101,261.7012023925781,7297.748486328125,7559.449688720703,0.08463992923498154,16000,0
102,228.0983428955078,7299.7624389648445,7527.860781860352,0.05523988604545593,16000,0
103,128.581298828125,7300.9108764648445,7429.4921752929695,0.025839870795607567,16000,0
104,53.09136962890625,7301.194995117188,7354.2863647460945,-0.0035601232666522264,16000,0
105,51.518333435058594,7300.614196777345,7352.132530212403,-0.03296012058854103,16000,0
106,118.76817321777344,7299.170275878907,7417.93844909668,-0.062360137701034546,16000,0
107,184.74676513671875,7296.862036132813,7481.608801269532,-0.09176012873649597,16000,0
108,212.90548706054688,7293.688281250001,7506.593768310548,-0.12116018682718277,16000,0
109,199.0228271484375,7289.650805664063,7488.673632812501,-0.15056024491786957,16000,0
110,139.98828125,7284.7490112304695,7424.7372924804695,-0.17996026575565338,16000,0
111,82.87171936035156,7278.983496093751,7361.855215454102,-0.2093602567911148,16000,0
112,75.1524887084961,7272.351867675782,7347.504356384278,-0.23876029253005981,16000,0
113,135.811767578125,7264.857714843751,7400.669482421876,-0.26816031336784363,16000,0
114,235.7423095703125,7256.498645019532,7492.2409545898445,-0.2975603938102722,16000,0
115,284.5911865234375,7247.274658203126,7531.865844726563,-0.3269605040550232,16000,0
116,240.2469940185547,7237.186352539063,7477.433346557617,-0.356360524892807,16000,0
117,145.28741455078125,7226.233728027344,7371.521142578125,-0.38576069474220276,16000,0
118,92.2953109741211,7214.4173828125,7306.7126937866215,-0.4151606559753418,16000,0
119,153.17532348632812,7201.73671875,7354.9120422363285,-0.4445606768131256,16000,0
120,279.6372375488281,7188.191137695313,7467.828375244141,-0.4739607572555542,16000,0
121,362.6044921875,7173.780639648438,7536.385131835938,-0.5033609867095947,16000,0
122,338.29632568359375,7158.506420898438,7496.802746582031,-0.5327610969543457,16000,0
123,244.47512817382812,7142.368481445313,7386.843609619141,-0.562161386013031,16000,0
124,194.94232177734375,7125.364428710938,7320.306750488282,-0.5915614366531372,16000,0
125,236.7857208251953,7107.49725341797,7344.282974243165,-0.6209615468978882,16000,0
126,334.0538330078125,7088.765759277344,7422.819592285156,-0.6503617763519287,16000,0
127,422.5651550292969,7069.170544433594,7491.735699462891,-0.6797619462013245,16000,0
128,440.17071533203125,7048.710412597657,7488.881127929688,-0.7091622948646545,16000,0
129,402.99603271484375,7027.384765625001,7430.380798339845,-0.7385625243186951,16000,0
130,366.439208984375,7005.195397949219,7371.634606933594,-0.7679628133773804,16000,0
131,362.5108947753906,6982.142309570313,7344.653204345704,-0.7973629832267761,16000,0
132,409.7326965332031,6958.22430419922,7367.957000732423,-0.8267633318901062,16000,0
133,488.5602111816406,6933.441979980469,7422.00219116211,-0.8561634421348572,16000,0
134,563.740966796875,6907.795336914063,7471.536303710938,-0.885563850402832,16000,0
135,599.6376953125,6881.283776855469,7480.921472167969,-0.9149641394615173,16000,0
136,572.8994750976562,6853.909094238282,7426.808569335938,-0.9443645477294922,16000,0
137,524.839111328125,6825.669494628907,7350.508605957032,-0.9737650156021118,16000,0
138,521.5950927734375,6796.565576171875,7318.160668945313,-1.003165364265442,16000,0
139,598.148193359375,6766.597338867188,7364.745532226563,-1.032565951347351,16000,0
140,722.1506958007812,6735.764782714844,7457.915478515625,-1.0619661808013916,16000,0
141,798.6657104492188,6704.06611328125,7502.731823730469,-1.0913664102554321,16000,0
142,785.2120361328125,6671.505517578125,7456.717553710938,-1.1207668781280518,16000,0
143,725.807373046875,6638.07880859375,7363.886181640625,-1.1501672267913818,16000,0
144,699.9346923828125,6603.788378906251,7303.723071289063,-1.179567813873291,16000,0
145,768.7803344726562,6568.634228515625,7337.414562988281,-1.2089685201644897,16000,0
146,896.4218139648438,6532.615161132813,7429.036975097657,-1.2383689880371094,16000,0
147,989.7030029296875,6495.731774902344,7485.434777832032,-1.2677695751190186,16000,0
148,1003.9310302734375,6457.98406982422,7461.915100097657,-1.2971670627593994,16000,0
149,965.9202270507812,6419.386999511719,7385.307226562501,-1.3248456716537476,16000,0
150,927.8731079101562,6380.15350341797,7308.026611328126,-1.3388310670852661,16000,0
151,911.7976684570312,6341.007934570313,7252.805603027345,-1.3188481330871582,16000,0
152,910.8363647460938,6303.243481445313,7214.079846191406,-1.2481701374053955,16000,0
153,885.22705078125,6268.424890136719,7153.651940917969,-1.1246684789657593,16000,0
154,764.849365234375,6237.975146484376,7002.824511718751,-0.9568506479263306,16000,0
155,535.19091796875,6213.112072753906,6748.302990722656,-0.7485410571098328,16000,0
156,257.9636535644531,6195.052893066407,6453.01654663086,-0.4981081187725067,16000,0
157,51.96834182739258,6184.984326171875,6236.952667999268,-0.2105780988931656,16000,0
158,36.36273956298828,6183.733605957032,6220.09634552002,0.09599059075117111,16000,0
159,209.7367401123047,6191.478381347657,6401.215121459962,0.3981892764568329,16000,0
160,466.546630859375,6207.766455078126,6674.313085937501,0.6767383813858032,16000,0
161,684.9175415039062,6231.646179199219,6916.563720703125,0.916074812412262,16000,0
162,798.9985961914062,6261.719689941407,7060.718286132813,1.1010875701904297,16000,0
163,835.2994384765625,6296.16982421875,7131.469262695313,1.2189180850982666,16000,0
164,839.0948486328125,6332.954516601563,7172.049365234376,1.2681199312210083,16000,0
165,836.4507446289062,6370.302661132813,7206.7534057617195,1.26659095287323,16000,0
166,841.5159301757812,6407.162719726563,7248.678649902345,1.241571068763733,16000,0
167,845.870849609375,6443.190759277344,7289.061608886719,1.2122211456298828,16000,0
168,825.2720947265625,6478.355078125001,7303.627172851563,1.1828263998031616,16000,0
169,763.3850708007812,6512.655078125001,7276.040148925782,1.1534262895584106,16000,0
170,677.8056640625,6546.089562988282,7223.895227050782,1.1240261793136597,16000,0
171,615.4923095703125,6578.660925292969,7194.153234863282,1.0946258306503296,16000,0
172,603.22265625,6610.36737060547,7213.59002685547,1.065225601196289,16000,0
173,625.9840698242188,6641.209497070313,7267.193566894532,1.0358253717422485,16000,0
174,636.7996826171875,6671.187902832032,7307.987585449219,1.0064252614974976,16000,0
175,594.679931640625,6700.300793457031,7294.980725097656,0.9770250916481018,16000,0
176,512.0177001953125,6728.549963378907,7240.567663574219,0.9476248621940613,16000,0
177,439.6398620605469,6755.934814453126,7195.574676513673,0.9182248711585999,16000,0
178,417.52630615234375,6782.455346679688,7199.981652832032,0.8888248205184937,16000,0
179,437.268798828125,6808.110961914063,7245.379760742188,0.8594247698783875,16000,0
180,456.9492492675781,6832.903454589844,7289.852703857422,0.8300245404243469,16000,0
181,438.2159118652344,6856.831030273438,7295.046942138672,0.8006243705749512,16000,0
182,380.102783203125,6879.893090820313,7259.995874023438,0.7712243795394897,16000,0
183,312.20721435546875,6902.091430664063,7214.298645019532,0.7418243288993835,16000,0
