frame,kinetic_energy,potential_energy,total_energy
0,125.0,7838.33955078125,7963.33955078125
1,140.1321563720703,7823.163427734376,7963.295584106446
2,156.12869262695312,7807.124780273438,7963.253472900391
3,172.9895782470703,7790.220617675782,7963.210195922852
4,190.71481323242188,7772.451538085938,7963.16635131836
5,209.30441284179688,7753.818737792969,7963.123150634766
6,228.7583770751953,7734.322216796875,7963.0805938720705
7,249.0767059326172,7713.960180664063,7963.03688659668
8,270.2593688964844,7692.734423828126,7962.99379272461
9,292.306396484375,7670.644946289063,7962.951342773438
10,315.2178039550781,7647.689953613281,7962.90775756836
11,338.99359130859375,7623.870642089844,7962.864233398438
12,363.63372802734375,7599.187011718751,7962.820739746095
13,389.1381530761719,7573.6390625,7962.777215576172
14,415.50701904296875,7547.227392578126,7962.734411621094
15,442.740234375,7519.9514038085945,7962.6916381835945
16,470.8377685546875,7491.809899902344,7962.647668457032
17,499.7997131347656,7462.805273437501,7962.604986572266
18,529.6266479492188,7432.93572998047,7962.562377929688
19,560.31787109375,7402.201867675782,7962.519738769532
20,591.87353515625,7370.603686523438,7962.477221679688
21,624.2935791015625,7338.141186523438,7962.434765625
22,657.5780639648438,7304.813769531251,7962.3918334960945
23,691.7268676757812,7270.622033691407,7962.348901367188
24,726.7401733398438,7235.566577148438,7962.306750488282
25,762.6177978515625,7199.646801757813,7962.264599609375
26,799.35986328125,7162.86151123047,7962.22137451172
27,836.9664306640625,7125.213696289063,7962.180126953125
28,875.4371337890625,7086.700366210938,7962.137500000001
29,914.7724609375,7047.322119140626,7962.094580078126
30,954.9721069335938,7007.08074951172,7962.052856445313
31,996.0361938476562,6965.9738647460945,7962.010058593751
32,1037.964599609375,6924.003259277344,7961.967858886719
33,1080.7572021484375,6881.168334960938,7961.925537109376
34,1124.414306640625,6837.4684936523445,7961.8828002929695
35,1168.9359130859375,6792.904931640625,7961.840844726563
36,1214.3218994140625,6747.475854492188,7961.79775390625
37,1260.572265625,6701.183654785157,7961.755920410157
38,1307.6871337890625,6654.026538085938,7961.713671875001
39,1355.666259765625,6606.005102539063,7961.671362304688
40,1404.5096435546875,6557.119348144532,7961.628991699219
41,1454.2176513671875,6507.369274902344,7961.586926269531
42,1504.789794921875,6456.754882812501,7961.544677734376
43,1555.545166015625,6405.277966308594,7960.823132324219
44,1593.5806884765625,6353.04140625,7946.622094726563
45,1593.677734375,6300.545849609375,7894.223583984375
46,1574.009765625,6248.477368164063,7822.487133789063
47,1568.0780029296875,6196.931665039063,7765.00966796875
48,1580.5885009765625,6145.554040527344,7726.142541503907
49,1599.3817138671875,6094.083105468751,7693.464819335938
50,1615.5714111328125,6042.535009765626,7658.106420898438
51,1634.225830078125,5990.942053222657,7625.167883300782
52,1655.49755859375,5939.242626953125,7594.740185546875
53,1677.7132568359375,5887.415197753907,7565.128454589844
54,1701.5367431640625,5835.448999023438,7536.9857421875
55,1727.292724609375,5783.3099365234375,7510.6026611328125
56,1754.9058837890625,5730.96630859375,7485.8721923828125
57,1784.132568359375,5678.387609863282,7462.520178222657
58,1814.8475341796875,5625.54931640625,7440.3968505859375
59,1846.9427490234375,5572.433483886719,7419.376232910156
60,1880.7806396484375,5519.016186523438,7399.796826171875
61,1916.369384765625,5465.263928222656,7381.633312988281
62,1953.6119384765625,5411.146801757813,7364.758740234375
63,1992.367919921875,5356.6420776367195,7349.0099975585945
64,2032.801513671875,5301.724633789063,7334.526147460938
65,2074.86865234375,5246.359179687501,7321.227832031251
66,2118.256103515625,5190.526574707032,7308.782678222657
67,2163.18310546875,5134.204687500001,7297.387792968751
68,2209.472900390625,5077.365405273438,7286.838305664063
69,2257.040771484375,5019.993176269531,7277.033947753906
70,2305.907470703125,4962.066467285156,7267.973937988281
71,2356.05224609375,4903.565539550782,7259.617785644532
72,2407.459228515625,4844.470953369141,7251.930181884766
73,2460.068359375,4784.765063476563,7244.833422851563
74,2513.874267578125,4724.430523681641,7238.304791259766
75,2568.823486328125,4663.454772949219,7232.278259277344
76,2624.93212890625,4601.822857666016,7226.754986572266
77,2682.15625,4539.522814941407,7221.679064941407
78,2740.5029296875,4476.541186523438,7217.044116210938
79,2799.954833984375,4412.866308593751,7212.821142578126
80,2860.473876953125,4348.488610839844,7208.962487792969
81,2922.0390625,4283.398223876953,7205.437286376953
82,2984.635986328125,4217.585278320313,7202.221264648438
83,3048.228515625,4151.043194580078,7199.271710205078
84,3112.814697265625,4083.763598632813,7196.578295898438
85,3178.3837890625,4015.738415527344,7194.122204589844
86,3244.9306640625,3946.961364746094,7191.892028808594
87,3312.447998046875,3877.4246704101565,7189.872668457032
88,3380.93212890625,3807.121752929688,7188.053881835938
89,3450.379150390625,3736.0448364257813,7186.423986816406
90,3520.784912109375,3664.187939453125,7184.9728515625
91,3592.141845703125,3591.543884277344,7183.685729980469
92,3664.445068359375,3518.1063903808595,7182.551458740234
93,3737.6865234375,3443.8688781738283,7181.555401611328
94,3811.85791015625,3368.8256652832033,7180.683575439453
95,3886.948486328125,3292.971667480469,7179.9201538085945
96,3962.9482421875,3216.302099609375,7179.250341796875
97,4039.847900390625,3138.8118774414065,7178.659777832032
98,4117.63671875,3060.498309326172,7178.135028076173
99,4196.3056640625,2981.357507324219,7177.663171386719
100,4275.8466796875,2901.3885742187504,7177.23525390625
101,4356.25341796875,2820.587921142578,7176.841339111328
102,4437.5244140625,2738.9546508789062,7176.479064941406
103,4519.6572265625,2656.487567138672,7176.144793701173
104,4602.65087890625,2573.1848754882812,7175.835754394531
105,4686.40234375,2489.044631958008,7175.446975708008
106,4715.96044921875,2404.2033630371097,7120.16381225586
107,4543.8037109375,2319.995977783203,6863.799688720703
108,4349.00244140625,2238.0265502929688,6587.028991699219
109,4200.67578125,2158.0208312988284,6358.696612548829
110,4007.12451171875,2080.2626403808595,6087.387152099609
111,3796.79541015625,2005.4769287109377,5802.2723388671875
112,3598.107177734375,1933.6982391357424,5531.805416870117
113,3398.815673828125,1864.8713928222658,5263.687066650391
114,3193.320556640625,1799.1996093750001,4992.520166015625
115,2996.2158203125,1736.76767578125,4732.98349609375
116,2813.16064453125,1677.4377197265626,4490.598364257812
117,2641.00830078125,1621.0901123046876,4262.098413085938
118,2478.696044921875,1567.6781982421876,4046.3742431640626
119,2330.639404296875,1517.1110595703126,3847.7504638671876
120,2199.941650390625,1469.1446533203125,3669.0863037109375
121,2082.335693359375,1423.5301513671875,3505.8658447265625
122,1973.70361328125,1380.1537567138673,3353.8573699951176
123,1875.3328857421875,1338.9185699462892,3214.2514556884767
124,1788.122314453125,1299.6360260009767,3087.758340454102
