frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,125.0,7838.563854980469,7963.563854980469,-0.5,16000,0
1,140.13217163085938,7823.388330078125,7963.520501708985,-0.5293999910354614,16000,0
2,156.12867736816406,7807.348486328126,7963.47716369629,-0.5587999224662781,16000,0
3,172.9895782470703,7790.444921875001,7963.434500122071,-0.5881998538970947,16000,0
4,190.71481323242188,7772.675244140625,7963.390057373047,-0.6175997853279114,16000,0
5,209.30442810058594,7754.043041992188,7963.347470092774,-0.6469998359680176,16000,0
6,228.75839233398438,7734.545922851563,7963.304315185547,-0.6763997077941895,16000,0
7,249.07672119140625,7714.183886718751,7963.260607910157,-0.7057996988296509,16000,0
8,270.2593994140625,7692.959326171876,7963.218725585938,-0.7351995706558228,16000,0
9,292.30645751953125,7670.868652343751,7963.175109863282,-0.7645995616912842,16000,0
10,315.21783447265625,7647.9142578125,7963.132092285156,-0.7939995527267456,16000,0
11,338.9936218261719,7624.094348144532,7963.087969970704,-0.8233994245529175,16000,0
12,363.6336669921875,7599.410717773438,7963.044384765625,-0.8527993559837341,16000,0
13,389.1381530761719,7573.86396484375,7963.002117919922,-0.8821993470191956,16000,0
14,415.50701904296875,7547.452294921875,7962.959313964844,-0.911599338054657,16000,0
15,442.740234375,7520.175109863282,7962.915344238282,-0.9409992098808289,16000,0
16,470.8377685546875,7492.034204101563,7962.87197265625,-0.9703990817070007,16000,0
17,499.79962158203125,7463.029577636719,7962.829199218751,-0.9997989535331726,16000,0
18,529.62646484375,7433.159436035156,7962.785900878906,-1.0291996002197266,16000,0
19,560.3177490234375,7402.426171875,7962.743920898438,-1.0586000680923462,16000,0
20,591.8734130859375,7370.827990722657,7962.7014038085945,-1.0880006551742554,16000,0
21,624.2933349609375,7338.364892578125,7962.658227539063,-1.117401123046875,16000,0
22,657.577880859375,7305.0380737304695,7962.6159545898445,-1.1468017101287842,16000,0
23,691.726806640625,7270.847534179688,7962.574340820313,-1.1762021780014038,16000,0
24,726.7399291992188,7235.790881347657,7962.530810546876,-1.205602765083313,16000,0
25,762.6175537109375,7199.8705078125,7962.488061523438,-1.2350033521652222,16000,0
26,799.359619140625,7163.085815429688,7962.445434570313,-1.2644038200378418,16000,0
27,836.9660034179688,7125.43740234375,7962.403405761719,-1.293804407119751,16000,0
28,875.4368286132812,7086.924072265626,7962.360900878907,-1.3232048749923706,16000,0
29,914.7720947265625,7047.547021484375,7962.319116210938,-1.3526054620742798,16000,0
30,954.9716796875,7007.303857421875,7962.275537109375,-1.3820059299468994,16000,0
31,996.0357055664062,6966.198168945313,7962.2338745117195,-1.4114066362380981,16000,0
32,1037.964111328125,6924.227563476563,7962.191674804688,-1.4408071041107178,16000,0
33,1080.7569580078125,6881.392041015625,7962.148999023438,-1.4702078104019165,16000,0
34,1124.4141845703125,6837.692797851563,7962.106982421876,-1.4996082782745361,16000,0
35,1168.935791015625,6793.128637695313,7962.064428710938,-1.5290086269378662,16000,0
36,1214.32177734375,6747.699560546876,7962.021337890626,-1.558409333229065,16000,0
37,1260.5721435546875,6701.407958984376,7961.980102539063,-1.5878100395202637,16000,0
38,1307.68701171875,6654.251440429688,7961.938452148438,-1.6172105073928833,16000,0
39,1355.6661376953125,6606.230004882813,7961.896142578125,-1.6466110944747925,16000,0
40,1404.509765625,6557.34365234375,7961.85341796875,-1.676011562347412,16000,0
41,1454.2176513671875,6507.592980957032,7961.810632324219,-1.7054121494293213,16000,0
42,1504.7899169921875,6456.978588867188,7961.768505859375,-1.7348127365112305,16000,0
43,1555.5513916015625,6405.502270507813,7961.053662109375,-1.763815999031067,16000,0
44,1593.9830322265625,6353.264514160157,7947.2475463867195,-1.785136103630066,16000,0
45,1595.4764404296875,6300.747424316407,7896.2238647460945,-1.7830427885055542,16000,0
46,1576.9989013671875,6248.627502441406,7825.626403808594,-1.7638564109802246,16000,0
47,1570.759521484375,6197.016003417969,7767.775524902344,-1.7505240440368652,16000,0
48,1582.380859375,6145.588134765625,7727.968994140625,-1.749731421470642,16000,0
49,1601.4947509765625,6094.075329589844,7695.570080566406,-1.7540820837020874,16000,0
50,1618.727294921875,6042.463232421876,7661.190527343751,-1.756370186805725,16000,0
51,1637.7054443359375,5990.788330078125,7628.4937744140625,-1.758996605873108,16000,0
52,1658.77294921875,5939.009350585938,7597.782299804688,-1.7630136013031006,16000,0
53,1681.078857421875,5887.107751464844,7568.186608886719,-1.7674620151519775,16000,0
54,1705.6640625,5835.053027343751,7540.717089843751,-1.7732954025268555,16000,0
55,1731.97412109375,5782.8074951171875,7514.7816162109375,-1.780200719833374,16000,0
56,1759.50732421875,5730.351416015626,7489.858740234376,-1.787636637687683,16000,0
57,1788.5634765625,5677.664453125,7466.2279296875,-1.795838475227356,16000,310
58,1819.3306884765625,5624.720288085938,7444.0509765625,-1.804989218711853,16000,810
59,1851.3857421875,5571.498583984376,7422.884326171876,-1.814687967300415,16000,1260
60,1884.992431640625,5517.979602050782,7402.972033691407,-1.8251841068267822,16000,1651
61,1920.3203125,5464.135827636719,7384.456140136719,-1.8366636037826538,16000,2143
62,1957.4033203125,5409.937353515626,7367.340673828126,-1.849216341972351,16000,2653
63,1996.3109130859375,5355.351281738282,7351.662194824219,-1.8629376888275146,16000,3243
64,2036.880615234375,5300.345312500001,7337.225927734376,-1.877673864364624,16000,3785
65,2078.878173828125,5244.893725585938,7323.771899414063,-1.8931034803390503,16000,4286
66,2122.34326171875,5188.976184082032,7311.319445800782,-1.9092977046966553,16000,4836
67,2167.29248046875,5132.569360351563,7299.861840820313,-1.9263359308242798,16000,5463
68,2213.72021484375,5075.647534179688,7289.367749023438,-1.9442795515060425,16000,5951
69,2261.546875,5018.1837890625,7279.7306640625,-1.963038444519043,16000,6531
70,2310.6796875,4960.157788085938,7270.837475585938,-1.982475996017456,16000,7044
71,2361.107421875,4901.5491943359375,7262.6566162109375,-2.002610206604004,16000,7575
72,2412.7275390625,4842.339465332032,7255.067004394532,-2.023259162902832,16000,8120
73,2465.564453125,4782.514544677735,7248.078997802735,-2.0444681644439697,16000,8698
74,2519.6279296875,4722.055889892578,7241.683819580078,-2.066291332244873,16000,9255
75,2574.8701171875,4660.946752929688,7235.816870117188,-2.0886175632476807,16000,9815
76,2631.265380859375,4599.173974609375,7230.43935546875,-2.11140775680542,16000,10368
77,2688.7880859375,4536.723797607422,7225.511883544922,-2.1346352100372314,16000,10964
78,2747.40771484375,4473.585455322266,7220.993170166016,-2.1582095623016357,16000,11408
79,2807.152099609375,4409.746386718751,7216.898486328126,-2.182234287261963,16000,11779
80,2867.963623046875,4345.195526123047,7213.159149169922,-2.20658278465271,16000,12067
81,2929.810302734375,4279.925097656251,7209.735400390626,-2.2311978340148926,16000,12326
82,2992.6904296875,4213.925231933594,7206.615661621094,-2.2561237812042236,16000,12545
83,3056.5625,4147.189050292969,7203.751550292969,-2.281268835067749,16000,12749
84,3121.426025390625,4079.7099731445314,7201.135998535156,-2.3066723346710205,16000,12940
85,3187.270263671875,4011.479626464844,7198.749890136719,-2.3323216438293457,16000,13089
86,3254.083740234375,3942.4914306640626,7196.575170898437,-2.3581907749176025,16000,13249
87,3321.86572265625,3872.73910522461,7194.604827880859,-2.384293556213379,16000,13398
88,3390.60888671875,3802.2154724121096,7192.82435913086,-2.4106171131134033,16000,13530
89,3460.30810546875,3730.9151489257815,7191.223254394532,-2.437157392501831,16000,13667
90,3530.96044921875,3658.830358886719,7189.790808105468,-2.4639058113098145,16000,13781
91,3602.559814453125,3585.9566162109377,7188.516430664063,-2.4908578395843506,16000,13873
92,3675.09912109375,3512.286444091797,7187.3855651855465,-2.518007516860962,16000,13981
93,3748.571044921875,3437.815356445313,7186.386401367188,-2.5453453063964844,16000,14076
94,3822.9697265625,3362.537969970703,7185.507696533203,-2.5728628635406494,16000,14135
95,3898.287109375,3286.4486022949222,7184.735711669922,-2.600552558898926,16000,14218
96,3974.51708984375,3209.5421691894535,7184.0592590332035,-2.628401279449463,16000,14301
97,4051.650634765625,3131.814782714844,7183.465417480469,-2.6563892364501953,16000,14361
98,4129.67822265625,3053.2628540039063,7182.941076660156,-2.6844966411590576,16000,14440
99,4208.59033203125,2973.882495117188,7182.472827148438,-2.71270489692688,16000,14521
100,4288.3798828125,2893.671911621094,7182.051794433593,-2.7409942150115967,16000,14603
101,4369.03857421875,2812.6281127929688,7181.666687011719,-2.769348621368408,16000,14665
102,4450.564453125,2730.750201416016,7181.314654541016,-2.7977609634399414,16000,14729
103,4532.9541015625,2648.0357849121096,7180.98988647461,-2.8262276649475098,16000,14789
104,4616.20849609375,2564.483666992188,7180.692163085938,-2.8547468185424805,16000,14833
105,4700.23388671875,2480.092501831055,7180.326388549805,-2.8832900524139404,16000,14870
106,4731.0,2394.993432617188,7125.993432617188,-2.8974053859710693,16000,14917
107,4559.42431640625,2310.5167327880863,6869.941049194336,-2.8425614833831787,16000,14955
108,4361.7744140625,2228.279336547852,6590.053750610352,-2.7634105682373047,16000,14993
109,4212.341796875,2148.0506591796875,6360.3924560546875,-2.699591875076294,16000,15036
110,4020.564208984375,2070.056500244141,6090.620709228516,-2.609922170639038,16000,15082
111,3808.7470703125,1995.0336242675783,5803.7806945800785,-2.504826068878174,16000,15115
112,3608.06396484375,1923.0454345703126,5531.109399414063,-2.404308557510376,16000,15151
113,3408.821044921875,1854.0261352539064,5262.847180175781,-2.3017232418060303,16000,15177
114,3203.416748046875,1788.149337768555,4991.56608581543,-2.1917128562927246,16000,15213
115,3003.810791015625,1725.5367645263673,4729.347555541992,-2.0812785625457764,16000,15244
116,2818.162353515625,1666.092712402344,4484.255065917969,-1.9762543439865112,16000,15278
117,2645.825927734375,1609.6613647460938,4255.487292480469,-1.875800609588623,16000,15304
118,2484.6435546875,1556.149710083008,4040.793264770508,-1.7778080701828003,16000,15335
119,2336.55224609375,1505.4583068847658,3842.010552978516,-1.6843122243881226,16000,15367
120,2204.205810546875,1457.4000854492188,3661.6058959960938,-1.5986062288284302,16000,15399
121,2086.12451171875,1411.7371337890627,3497.8616455078127,-1.5205731391906738,16000,15431
122,1978.450439453125,1368.3097473144533,3346.7601867675785,-1.4463753700256348,16000,15455
123,1880.66650390625,1327.0054748535158,3207.671978759766,-1.3767811059951782,16000,15484
124,1793.12890625,1287.6519012451172,3080.780807495117,-1.3135915994644165,16000,15508
125,1714.617919921875,1250.0864807128908,2964.704400634766,-1.255251407623291,16000,15531
126,1644.880859375,1214.1818084716797,2859.0626678466797,-1.2011620998382568,16000,15567
127,1582.791748046875,1179.8160125732422,2762.607760620117,-1.15123450756073,16000,15587
128,1528.024658203125,1146.8678192138673,2674.8924774169923,-1.1053615808486938,16000,15621
129,1480.4638671875,1115.231057739258,2595.694924926758,-1.0627914667129517,16000,15642
130,1439.324951171875,1084.81884765625,2524.143798828125,-1.0229638814926147,16000,15673
131,1404.6612548828125,1055.551336669922,2460.2125915527345,-0.985846996307373,16000,15699
132,1376.2869873046875,1027.3545043945314,2403.641491699219,-0.9509471654891968,16000,15734
133,1352.833251953125,1000.1838638305665,2353.017115783691,-0.9171890616416931,16000,15751
134,1333.606689453125,973.9973953247071,2307.604084777832,-0.8851416707038879,16000,15782
135,1317.44921875,948.7353591918946,2266.1845779418945,-0.8549335598945618,16000,15797
136,1301.571533203125,924.366278076172,2225.937811279297,-0.8249608278274536,16000,15804
137,1280.3192138671875,900.90615234375,2181.2253662109374,-0.7931526899337769,16000,15812
138,1251.1112060546875,878.4860504150391,2129.5972564697267,-0.754779040813446,16000,15814
139,1220.3973388671875,857.2705368041993,2077.667875671387,-0.7133872509002686,16000,15819
140,1194.8714599609375,837.1983764648438,2032.0698364257814,-0.6776502132415771,16000,15823
141,1174.29931640625,818.0532653808594,1992.3525817871096,-0.6497082114219666,16000,15829
142,1157.5023193359375,799.6390869140625,1957.14140625,-0.6273528933525085,16000,15833
143,1142.08349609375,781.8442123413087,1923.9277084350588,-0.606956422328949,16000,15841
144,1126.9378662109375,764.6632583618165,1891.601124572754,-0.5854138135910034,16000,15843
145,1112.1591796875,748.147216796875,1860.306396484375,-0.5623686909675598,16000,15848
146,1098.33154296875,732.3057327270508,1830.6372756958008,-0.5398491024971008,16000,15854
147,1084.526611328125,717.1018707275391,1801.628482055664,-0.5189157724380493,16000,15857
148,1070.6402587890625,702.4975738525391,1773.1378326416016,-0.49884533882141113,16000,15859
149,1056.55126953125,688.4641311645508,1745.015400695801,-0.4799101650714874,16000,15864
150,1041.95166015625,674.9677474975587,1716.9194076538088,-0.4621838331222534,16000,15866
151,1026.909423828125,661.9800109863281,1688.8894348144531,-0.44520893692970276,16000,15869
152,1011.3793334960938,649.4823791503907,1660.8617126464844,-0.42921072244644165,16000,15871
153,995.2388916015625,637.4494308471681,1632.6883224487306,-0.41401422023773193,16000,15874
154,978.733642578125,625.8525672912598,1604.5862098693847,-0.39951130747795105,16000,15878
155,962.9054565429688,614.6790031433106,1577.5844596862794,-0.38521918654441833,16000,15884
156,947.8177490234375,603.9138595581055,1551.731608581543,-0.37138494849205017,16000,15886
157,933.5147094726562,593.541024017334,1527.0557334899904,-0.3578968644142151,16000,15886
158,920.356201171875,583.5604965209961,1503.9166976928711,-0.3442993462085724,16000,15889
159,908.6549682617188,573.9682022094727,1482.6231704711913,-0.3311164975166321,16000,15893
160,899.6483154296875,564.756103515625,1464.4044189453125,-0.31804323196411133,16000,15894
161,892.2806396484375,555.9268920898438,1448.2075317382814,-0.3046763837337494,16000,15897
162,885.966552734375,547.4946243286133,1433.4611770629883,-0.29056116938591003,16000,15901
163,880.162841796875,539.4955627441407,1419.6584045410157,-0.2750871181488037,16000,15903
164,871.9232177734375,531.9541564941406,1403.877374267578,-0.2593443989753723,16000,15905
165,858.9390258789062,524.8526481628419,1383.7916740417481,-0.24509774148464203,16000,15908
166,842.78662109375,518.1477844238282,1360.9344055175782,-0.2321498841047287,16000,15909
167,825.9324951171875,511.7947418212891,1337.7272369384766,-0.2208886444568634,16000,15911
168,809.8468017578125,505.7463417053223,1315.5931434631348,-0.21108020842075348,16000,15915
169,794.5562133789062,499.96385421752933,1294.5200675964356,-0.2026212066411972,16000,15917
170,779.1632690429688,494.41015701293946,1273.5734260559082,-0.19539402425289154,16000,15921
171,765.1163330078125,489.05052032470707,1254.1668533325196,-0.1888548582792282,16000,15921
172,751.8463134765625,483.87619628906253,1235.722509765625,-0.18255412578582764,16000,15924
173,739.312255859375,478.87585754394536,1218.1881134033204,-0.1768351048231125,16000,15928
174,727.9369506835938,474.041130065918,1201.9780807495117,-0.171054869890213,16000,15928
175,716.9180297851562,469.37156524658207,1186.2895950317384,-0.16541418433189392,16000,15931
176,706.3455810546875,464.85800399780277,1171.2035850524903,-0.16013860702514648,16000,15933
177,696.3027954101562,460.4928573608399,1156.7956527709962,-0.1550355702638626,16000,15933
