frame,kinetic_energy,potential_energy,total_energy
0,125.0,7837.645703125,7962.645703125
1,140.13217163085938,7822.469580078126,7962.601751708985
2,156.1287078857422,7806.429736328126,7962.558444213868
3,172.9895782470703,7789.526171875001,7962.515750122071
4,190.71481323242188,7771.757690429688,7962.47250366211
5,209.30438232421875,7753.124291992188,7962.428674316407
6,228.75836181640625,7733.627770996094,7962.3861328125
7,249.07667541503906,7713.266333007813,7962.343008422852
8,270.2593688964844,7692.039978027345,7962.299346923829
9,292.3063659667969,7669.94990234375,7962.256268310547
10,315.2177429199219,7646.9955078125,7962.213250732422
11,338.9934997558594,7623.176196289063,7962.169696044923
12,363.6336364746094,7598.493164062501,7962.12680053711
13,389.13812255859375,7572.945812988281,7962.083935546875
14,415.50689697265625,7546.533544921876,7962.040441894532
15,442.7401428222656,7519.256958007813,7961.997100830079
16,470.83770751953125,7491.115454101563,7961.953161621094
17,499.799560546875,7462.111425781251,7961.910986328126
18,529.62646484375,7432.24188232422,7961.86834716797
19,560.3176879882812,7401.508020019532,7961.825708007813
20,591.8734741210938,7369.909838867188,7961.783312988282
21,624.29345703125,7337.446740722657,7961.740197753907
22,657.577880859375,7304.11932373047,7961.697204589845
23,691.7267456054688,7269.928186035157,7961.654931640625
24,726.739990234375,7234.872729492188,7961.612719726563
25,762.6174926757812,7198.952355957032,7961.569848632813
26,799.3594970703125,7162.168261718751,7961.527758789063
27,836.9658203125,7124.518652343751,7961.484472656251
28,875.4366455078125,7086.005322265625,7961.441967773438
29,914.7720336914062,7046.628271484376,7961.400305175782
30,954.9714965820312,7006.386303710938,7961.357800292969
31,996.0355224609375,6965.279418945313,7961.314941406251
32,1037.9639892578125,6923.308813476563,7961.272802734376
33,1080.7567138671875,6880.473889160156,7961.230603027344
34,1124.4140625,6836.774047851563,7961.188110351563
35,1168.935546875,6792.210485839844,7961.146032714844
36,1214.321533203125,6746.782006835938,7961.103540039063
37,1260.572021484375,6700.489208984375,7961.06123046875
38,1307.686767578125,6653.332690429688,7961.019458007813
39,1355.6658935546875,6605.311254882813,7960.977148437501
40,1404.509521484375,6556.425500488282,7960.935021972657
41,1454.2174072265625,6506.675427246094,7960.892834472656
42,1504.789794921875,6456.060437011719,7960.850231933594
43,1555.572509765625,6404.584118652344,7960.156628417969
44,1594.314208984375,6352.343371582032,7946.657580566407
45,1596.677001953125,6299.813122558594,7896.490124511719
46,1578.87744140625,6247.660900878906,7826.538342285156
47,1572.6708984375,6196.0063354492195,7768.6772338867195
48,1583.9365234375,6144.538391113281,7728.474914550781
49,1603.170166015625,6092.983117675782,7696.153283691407
50,1619.9420166015625,6041.33154296875,7661.2735595703125
51,1638.406982421875,5989.63271484375,7628.039697265625
52,1659.6962890625,5937.831005859375,7597.527294921875
53,1682.4271240234375,5885.889929199219,7568.317053222657
54,1706.298095703125,5833.801708984375,7540.0998046875
55,1731.6785888671875,5781.547802734375,7513.226391601563
56,1758.8233642578125,5729.101293945313,7487.924658203126
57,1787.5333251953125,5676.435266113282,7463.968591308594
58,1817.85009765625,5623.523999023438,7441.374096679688
59,1849.578125,5570.345959472656,7419.924084472656
60,1883.0579833984375,5516.877819824219,7399.935803222656
61,1918.5020751953125,5463.081298828125,7381.5833740234375
62,1955.4805908203125,5408.929479980469,7364.410070800782
63,1994.0601806640625,5354.396643066407,7348.456823730469
64,2034.327392578125,5299.454675292969,7333.782067871094
65,2076.218994140625,5244.073071289063,7320.292065429688
66,2119.6103515625,5188.22431640625,7307.83466796875
67,2164.44921875,5131.886279296876,7296.335498046876
68,2210.67236328125,5075.0350341796875,7285.7073974609375
69,2258.2294921875,5017.6496459960945,7275.8791381835945
70,2307.091796875,4959.711572265625,7266.803369140625
71,2357.248291015625,4901.199877929688,7258.448168945313
72,2408.62890625,4842.097515869141,7250.726422119141
73,2461.288818359375,4782.384448242188,7243.673266601563
74,2515.1552734375,4722.042730712891,7237.198004150391
75,2570.21240234375,4661.057409667969,7231.269812011719
76,2626.398193359375,4599.413232421875,7225.81142578125
77,2683.7099609375,4537.098834228516,7220.808795166016
78,2742.144775390625,4474.101654052734,7216.246429443359
79,2801.67626953125,4410.410327148438,7212.086596679688
80,2862.288330078125,4346.014685058594,7208.303015136719
81,2923.961181640625,4280.904260253907,7204.865441894532
82,2986.644775390625,4215.069482421875,7201.7142578125
83,3050.331298828125,4148.503173828125,7198.83447265625
84,3115.01220703125,4081.196661376953,7196.208868408203
85,3180.676025390625,4013.142468261719,7193.818493652344
86,3247.31982421875,3944.332818603516,7191.652642822266
87,3314.93603515625,3874.759936523438,7189.695971679688
88,3383.52001953125,3804.4175415039067,7187.937561035156
89,3453.067138671875,3733.2981567382817,7186.365295410156
90,3523.568115234375,3661.394903564453,7184.963018798828
91,3595.015380859375,3588.7018005371096,7183.717181396485
92,3667.403076171875,3515.2128662109376,7182.615942382812
93,3740.72216796875,3440.9221191406255,7181.644287109375
94,3814.964111328125,3365.8238769531254,7180.78798828125
95,3890.120361328125,3289.9136535644534,7180.034014892579
96,3966.181396484375,3213.1866638183596,7179.368060302735
97,4043.13671875,3135.6393188476563,7178.776037597656
98,4120.9765625,3057.2677307128906,7178.244293212891
