frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,125.0,7838.234875488281,7963.234875488281,-0.5,16000,0
1,140.13217163085938,7823.059350585938,7963.191522216797,-0.5293999314308167,16000,0
2,156.12869262695312,7807.019506835938,7963.148199462891,-0.5587999224662781,16000,0
3,172.9895782470703,7790.115344238282,7963.104922485352,-0.5881999731063843,16000,0
4,190.71482849121094,7772.34686279297,7963.061691284181,-0.6175998449325562,16000,0
5,209.30442810058594,7753.7140625,7963.018490600586,-0.6469998955726624,16000,0
6,228.75839233398438,7734.216943359375,7962.97533569336,-0.6763997077941895,16000,0
7,249.0767059326172,7713.855505371094,7962.9322113037115,-0.7057997584342957,16000,0
8,270.2594299316406,7692.629150390626,7962.8885803222665,-0.7351996302604675,16000,0
9,292.3064270019531,7670.539074707031,7962.845501708985,-0.7645996809005737,16000,0
10,315.21783447265625,7647.584082031251,7962.801916503907,-0.7939995527267456,16000,0
11,338.99365234375,7623.765966796876,7962.759619140626,-0.8233996033668518,16000,0
12,363.63372802734375,7599.08173828125,7962.715466308594,-0.8527994751930237,16000,0
13,389.1382141113281,7573.534985351563,7962.673199462891,-0.8821994662284851,16000,0
14,415.5070495605469,7547.122717285157,7962.629766845704,-0.911599338054657,16000,0
15,442.7402648925781,7519.845532226563,7962.585797119141,-0.9409993886947632,16000,0
16,470.8377685546875,7491.704626464844,7962.542395019532,-0.9703993201255798,16000,0
17,499.79974365234375,7462.700000000001,7962.4997436523445,-0.9997992515563965,16000,0
18,529.6265869140625,7432.831054687501,7962.457641601563,-1.0291997194290161,16000,0
19,560.31787109375,7402.096594238282,7962.414465332032,-1.0586003065109253,16000,0
20,591.87353515625,7370.498413085938,7962.371948242188,-1.088001012802124,16000,0
21,624.2936401367188,7338.035913085938,7962.329553222657,-1.1174015998840332,16000,0
22,657.578125,7304.708496093751,7962.286621093751,-1.1468019485473633,16000,0
23,691.7269897460938,7270.517358398438,7962.244348144532,-1.1762025356292725,16000,0
24,726.740234375,7235.4619018554695,7962.2021362304695,-1.2056031227111816,16000,0
25,762.6178588867188,7199.541528320313,7962.159387207032,-1.2350037097930908,16000,0
26,799.3599853515625,7162.756835937501,7962.116821289063,-1.264404296875,16000,0
27,836.9664306640625,7125.108422851563,7962.074853515625,-1.29380464553833,16000,0
28,875.4371948242188,7086.594494628906,7962.031689453125,-1.3232053518295288,16000,0
29,914.7723999023438,7047.217443847657,7961.989843750001,-1.3526058197021484,16000,0
30,954.971923828125,7006.975476074219,7961.947399902344,-1.3820064067840576,16000,0
31,996.0360107421875,6965.868591308595,7961.904602050782,-1.4114069938659668,16000,0
32,1037.96435546875,6923.898583984375,7961.862939453125,-1.4408073425292969,16000,0
