frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_neck
0,125.0,8525.98026123047,8650.98026123047,-0.5,16000,0
1,140.13217163085938,8510.804736328126,8650.936907958985,-0.5294000506401062,16000,0
2,156.12872314453125,8494.764892578125,8650.893615722656,-0.5588000416755676,16000,0
3,172.98963928222656,8477.86072998047,8650.850369262696,-0.588200032711029,16000,0
4,190.71490478515625,8460.092846679689,8650.807751464845,-0.6175999641418457,16000,0
5,209.3045196533203,8441.460644531251,8650.765164184571,-0.6470000743865967,16000,0
6,228.7584991455078,8421.962927246095,8650.721426391603,-0.6764000058174133,16000,0
7,249.07684326171875,8401.602087402345,8650.678930664064,-0.7057999968528748,16000,0
8,270.259521484375,8380.376928710939,8650.636450195314,-0.7351999282836914,16000,0
9,292.30657958984375,8358.28505859375,8650.591638183594,-0.7645999789237976,16000,0
10,315.2179870605469,8335.33006591797,8650.548052978516,-0.7939999103546143,16000,0
11,338.9937438964844,8311.511352539062,8650.505096435547,-0.8233999013900757,16000,0
12,363.6338806152344,8286.82772216797,8650.461602783203,-0.8527999520301819,16000,0
13,389.13836669921875,8261.280969238282,8650.4193359375,-0.8822000026702881,16000,0
14,415.5071716308594,8234.868701171876,8650.375872802735,-0.9115999937057495,16000,0
15,442.74041748046875,8207.592712402344,8650.333129882812,-0.9409998655319214,16000,0
16,470.8379821777344,8179.451208496094,8650.28919067383,-0.9703998565673828,16000,0
17,499.7999267578125,8150.446582031251,8650.246508789063,-0.9997997879981995,16000,0
18,529.6267700195312,8120.577038574219,8650.20380859375,-1.029200553894043,16000,0
19,560.3179931640625,8089.84197998047,8650.159973144531,-1.0586010217666626,16000,0
20,591.8735961914062,8058.243200683594,8650.116796875001,-1.0880014896392822,16000,0
21,624.2938232421875,8025.781298828126,8650.075122070313,-1.1174020767211914,16000,0
22,657.5781860351562,7992.454479980469,8650.032666015624,-1.1468027830123901,16000,0
23,691.7271728515625,7958.264538574219,8649.99171142578,-1.1762033700942993,16000,0
24,726.740478515625,7923.2084838867195,8649.948962402344,-1.205603837966919,16000,0
25,762.6181640625,7887.286914062501,8649.905078125,-1.2350044250488281,16000,0
26,799.3602294921875,7850.503417968751,8649.863647460938,-1.2644050121307373,16000,0
27,836.9666748046875,7812.853808593751,8649.820483398438,-1.2938058376312256,16000,0
28,875.4375,7774.339880371094,8649.777380371095,-1.3232061862945557,16000,0
29,914.7727661132812,7734.962231445313,8649.734997558593,-1.3526068925857544,16000,0
30,954.972412109375,7694.720263671876,8649.69267578125,-1.3820075988769531,16000,0
31,996.036376953125,7653.614575195313,8649.650952148437,-1.4114079475402832,16000,0
32,1037.9647216796875,7611.643969726563,8649.60869140625,-1.4408087730407715,16000,0
33,1080.7576904296875,7568.809045410157,8649.566735839844,-1.4702091217041016,16000,0
34,1124.4149169921875,7525.109204101563,8649.52412109375,-1.4996097087860107,16000,0
35,1168.9364013671875,7480.545043945313,8649.4814453125,-1.529010534286499,16000,0
36,1214.322265625,7435.115966796876,8649.438232421875,-1.5584107637405396,16000,0
37,1260.57275390625,7388.823767089844,8649.396520996095,-1.5878115892410278,16000,0
38,1307.6876220703125,7341.666052246094,8649.353674316408,-1.6172122955322266,16000,0
39,1355.6668701171875,7293.64521484375,8649.312084960937,-1.646612524986267,16000,0
40,1404.5106201171875,7244.75946044922,8649.270080566406,-1.676013469696045,16000,0
41,1454.2186279296875,7195.008789062501,8649.227416992188,-1.705413818359375,16000,0
42,1504.7908935546875,7144.395593261719,8649.186486816407,-1.7348144054412842,16000,0
43,1556.2275390625,7092.915686035157,8649.143225097658,-1.764215350151062,16000,0
44,1608.528564453125,7040.572058105469,8649.100622558595,-1.793615460395813,16000,0
45,1661.6942138671875,6987.364709472657,8649.058923339844,-1.8230164051055908,16000,0
46,1715.72412109375,6933.291845703126,8649.015966796876,-1.8524168729782104,16000,0
47,1770.618408203125,6878.355261230469,8648.973669433595,-1.88181734085083,16000,0
48,1826.3770751953125,6822.554956054688,8648.93203125,-1.911218285560608,16000,0
49,1883.000244140625,6765.89033203125,8648.890576171874,-1.940618634223938,16000,0
50,1940.48779296875,6708.360192871094,8648.847985839844,-1.9700193405151367,16000,0
51,1998.8397216796875,6649.966931152344,8648.80665283203,-1.999419927597046,16000,0
52,2058.0537109375,6590.708752441406,8648.762463378906,-2.0288193225860596,16000,0
53,2118.132080078125,6530.585656738282,8648.717736816407,-2.058218479156494,16000,0
54,2179.074462890625,6469.5976440429695,8648.672106933594,-2.087617874145508,16000,0
55,2240.881591796875,6407.746508789063,8648.628100585938,-2.1170175075531006,16000,0
56,2303.552734375,6345.031652832032,8648.584387207033,-2.1464169025421143,16000,0
57,2367.088134765625,6281.451879882813,8648.540014648439,-2.175816059112549,16000,0
58,2431.488037109375,6217.007788085938,8648.495825195314,-2.2052159309387207,16000,0
59,2496.752197265625,6151.698779296876,8648.4509765625,-2.2346150875091553,16000,0
60,2562.880859375,6085.525451660156,8648.406311035156,-2.264014720916748,16000,0
61,2629.87353515625,6018.4884033203125,8648.361938476562,-2.2934141159057617,16000,0
62,2697.730712890625,5950.58583984375,8648.316552734375,-2.3228135108947754,16000,0
63,2766.4521484375,5881.819555664063,8648.271704101564,-2.352212905883789,16000,0
64,2836.03857421875,5812.189550781251,8648.228125000001,-2.3816120624542236,16000,0
65,2906.48828125,5741.694628906251,8648.18291015625,-2.411011219024658,16000,0
66,2977.802734375,5670.335986328126,8648.138720703126,-2.440410852432251,16000,0
67,3049.981689453125,5598.1124267578125,8648.094116210938,-2.4698104858398438,16000,0
68,3123.02490234375,5525.023950195313,8648.048852539063,-2.4992101192474365,16000,0
69,3196.93212890625,5451.072351074219,8648.00447998047,-2.528609275817871,16000,0
70,3271.70361328125,5376.255236816407,8647.958850097657,-2.5580086708068848,16000,0
71,3347.33984375,5300.574401855469,8647.914245605469,-2.5874083042144775,16000,0
72,3423.83984375,5224.029248046875,8647.869091796874,-2.616807222366333,16000,0
