frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,0.8437500000000002,52.955908298492446,53.799658298492446,-0.5,3456,0
1,27.2652816772461,52.87014932632447,80.13543100357057,-2.6708428859710693,3456,0
2,1255.7221679687502,52.36037130355836,1308.0825392723086,-16.43791961669922,3456,0
3,43601.89843750001,49.0800298690796,43650.97846736909,-96.21746063232422,3456,0
4,333831.75000000006,37.31064834594728,333869.060648346,-260.592529296875,3456,882
5,487341.9062500001,17.27780549526215,487359.18405549537,-297.9264221191406,3456,2946
6,391318.78125000006,4.735612475872041,391323.51686247595,-140.95217895507812,3456,3409
7,4487316.000000001,1.8271110355854039,4487317.8271110365,-12.204249382019043,3456,3429
8,912118208.0000002,1.4539354383945469,912118209.4539356,-4.210756301879883,3456,3430
9,1130107371520.0002,1.3319317698478703,1130107371521.3323,-2.2384893894195557,3456,3434
10,1519051012571136.2,1.3326639711856845,1519051012571137.5,-0.573164701461792,3456,3434
11,2.1600113460479268e+18,1.3594788372516635,2.1600113460479268e+18,0.5420342683792114,3456,3435
12,3.071769916365618e+21,1.3897923231124882,3.071769916365618e+21,-0.26243412494659424,3456,3435
13,4.3639969740636724e+24,1.3773840367794041,4.3639969740636724e+24,1.119481086730957,3456,3435
14,6.20347002679514e+27,1.4867494195699695,6.20347002679514e+27,3.0596659183502197,3456,3435
15,8.043804338527648e+30,2.0412564158439643,8.043804338527648e+30,15.685369491577148,3456,3435
16,1.1321643764226451e+34,4.424948531389237,1.1321643764226451e+34,68.95417022705078,3456,3435
17,inf,9.249439501762392,inf,160.7596893310547,3456,3018
18,inf,9.315651297569277,inf,176.9793243408203,3456,3018
19,inf,9.371510052680971,inf,194.8052520751953,3456,3018
20,inf,9.410757446289065,inf,214.56268310546875,3456,3018
21,inf,9.4233056306839,inf,235.92178344726562,3456,3018
22,inf,9.427244389057162,inf,260.97808837890625,3456,3018
23,inf,9.426596593856814,inf,287.8199768066406,3456,3029
24,inf,9.416752910614017,inf,315.7212219238281,3456,3029
25,inf,9.385740518569948,inf,347.46636962890625,3456,3029
26,inf,9.274744987487795,inf,380.9801025390625,3456,3029
27,inf,9.129645872116091,inf,420.45062255859375,3456,3028
28,inf,9.036932301521304,inf,466.9695739746094,3456,3020
29,nan,nan,nan,nan,3456,2516
30,nan,nan,nan,nan,3456,2516
31,nan,nan,nan,nan,3456,2520
32,nan,nan,nan,nan,3456,2521
33,nan,nan,nan,nan,3456,1178
34,nan,nan,nan,nan,3456,1178
35,nan,nan,nan,nan,3456,1178
36,nan,nan,nan,nan,3456,1178
37,nan,nan,nan,nan,3456,1178
38,nan,nan,nan,nan,3456,1178
39,nan,nan,nan,nan,3456,1178
40,nan,nan,nan,nan,3456,1178
41,nan,nan,nan,nan,3456,1178
42,nan,nan,nan,nan,3456,0
43,nan,nan,nan,nan,3456,0
44,nan,nan,nan,nan,3456,0
45,nan,nan,nan,nan,3456,0
46,nan,nan,nan,nan,3456,0
47,nan,nan,nan,nan,3456,0
48,nan,nan,nan,nan,3456,0
49,nan,nan,nan,nan,3456,0
50,nan,nan,nan,nan,3456,0
51,nan,nan,nan,nan,3456,0
52,nan,nan,nan,nan,3456,5
53,nan,nan,nan,nan,3456,5
54,nan,nan,nan,nan,3456,5
55,nan,nan,nan,nan,3456,5
56,nan,nan,nan,nan,3456,5
57,nan,nan,nan,nan,3456,5
58,nan,nan,nan,nan,3456,5
59,nan,nan,nan,nan,3456,5
60,nan,nan,nan,nan,3456,5
61,nan,nan,nan,nan,3456,5
62,nan,nan,nan,nan,3456,5
63,nan,nan,nan,nan,3456,0
64,nan,nan,nan,nan,3456,0
65,nan,nan,nan,nan,3456,0
66,nan,nan,nan,nan,3456,0
67,nan,nan,nan,nan,3456,0
68,nan,nan,nan,nan,3456,0
69,nan,nan,nan,nan,3456,0
70,nan,nan,nan,nan,3456,0
71,nan,nan,nan,nan,3456,0
72,nan,nan,nan,nan,3456,0
73,nan,nan,nan,nan,3456,0
74,nan,nan,nan,nan,3456,0
75,nan,nan,nan,nan,3456,0
76,nan,nan,nan,nan,3456,0
77,nan,nan,nan,nan,3456,0
78,nan,nan,nan,nan,3456,0
79,nan,nan,nan,nan,3456,0
80,nan,nan,nan,nan,3456,0
81,nan,nan,nan,nan,3456,0
82,nan,nan,nan,nan,3456,0
83,nan,nan,nan,nan,3456,0
84,nan,nan,nan,nan,3456,0
85,nan,nan,nan,nan,3456,0
86,nan,nan,nan,nan,3456,0
87,nan,nan,nan,nan,3456,0
88,nan,nan,nan,nan,3456,0
89,nan,nan,nan,nan,3456,0
90,nan,nan,nan,nan,3456,0
91,nan,nan,nan,nan,3456,0
92,nan,nan,nan,nan,3456,0
93,nan,nan,nan,nan,3456,0
94,nan,nan,nan,nan,3456,0
95,nan,nan,nan,nan,3456,0
96,nan,nan,nan,nan,3456,0
97,nan,nan,nan,nan,3456,0
98,nan,nan,nan,nan,3456,0
99,nan,nan,nan,nan,3456,0
100,nan,nan,nan,nan,3456,0
101,nan,nan,nan,nan,3456,0
102,nan,nan,nan,nan,3456,0
103,nan,nan,nan,nan,3456,0
104,nan,nan,nan,nan,3456,0
105,nan,nan,nan,nan,3456,0
106,nan,nan,nan,nan,3456,0
107,nan,nan,nan,nan,3456,0
108,nan,nan,nan,nan,3456,0
109,nan,nan,nan,nan,3456,0
110,nan,nan,nan,nan,3456,0
111,nan,nan,nan,nan,3456,0
112,nan,nan,nan,nan,3456,0
113,nan,nan,nan,nan,3456,0
114,nan,nan,nan,nan,3456,0
115,nan,nan,nan,nan,3456,0
116,nan,nan,nan,nan,3456,0
117,nan,nan,nan,nan,3456,0
118,nan,nan,nan,nan,3456,0
119,nan,nan,nan,nan,3456,0
120,nan,nan,nan,nan,3456,0
121,nan,nan,nan,nan,3456,0
122,nan,nan,nan,nan,3456,0
123,nan,nan,nan,nan,3456,0
124,nan,nan,nan,nan,3456,0
125,nan,nan,nan,nan,3456,0
126,nan,nan,nan,nan,3456,0
127,nan,nan,nan,nan,3456,0
128,nan,nan,nan,nan,3456,0
129,nan,nan,nan,nan,3456,0
130,nan,nan,nan,nan,3456,0
131,nan,nan,nan,nan,3456,0
132,nan,nan,nan,nan,3456,0
133,nan,nan,nan,nan,3456,0
134,nan,nan,nan,nan,3456,0
135,nan,nan,nan,nan,3456,0
