frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,0.8437500000000002,52.89595832824708,53.73970832824708,-0.5,3456,0
1,27.378883361816413,52.81003580093385,80.18891916275027,-2.678577184677124,3456,0
2,1292.8369140625002,52.2955894470215,1345.1325035095217,-16.650001525878906,3456,0
3,47446.17968750001,48.928456306457534,47495.108143806465,-99.84213256835938,3456,0
4,409686.6875000001,36.402816820144665,409723.09031682025,-279.8590393066406,3456,978
5,514855.6562500001,16.654245662689213,514872.3104956628,-306.2417297363281,3456,2910
6,473061.8750000001,4.478326505422594,473066.3533265055,-122.03296661376953,3456,3419
7,3869280.750000001,2.1076259255409244,3869282.8576259264,-3.0576703548431396,3456,3428
8,5.161741363393942e+26,3.684010136127473,5.161741363393942e+26,9773204480.0,3456,3404
9,inf,39.57165803909303,inf,3.6196042694726e+22,3456,1444
10,inf,42.209433364868175,inf,inf,3456,1367
11,nan,nan,nan,nan,3456,604
12,nan,nan,nan,nan,3456,517
13,nan,nan,nan,nan,3456,431
14,nan,nan,nan,nan,3456,165
15,nan,nan,nan,nan,3456,146
16,nan,nan,nan,nan,3456,146
17,nan,nan,nan,nan,3456,9
18,nan,nan,nan,nan,3456,10
19,nan,nan,nan,nan,3456,10
20,nan,nan,nan,nan,3456,10
21,nan,nan,nan,nan,3456,10
22,nan,nan,nan,nan,3456,1
23,nan,nan,nan,nan,3456,1
24,nan,nan,nan,nan,3456,1
25,nan,nan,nan,nan,3456,1
26,nan,nan,nan,nan,3456,1
27,nan,nan,nan,nan,3456,0
28,nan,nan,nan,nan,3456,0
29,nan,nan,nan,nan,3456,0
30,nan,nan,nan,nan,3456,0
31,nan,nan,nan,nan,3456,0
32,nan,nan,nan,nan,3456,0
33,nan,nan,nan,nan,3456,0
34,nan,nan,nan,nan,3456,0
35,nan,nan,nan,nan,3456,0
36,nan,nan,nan,nan,3456,0
37,nan,nan,nan,nan,3456,0
38,nan,nan,nan,nan,3456,0
39,nan,nan,nan,nan,3456,0
40,nan,nan,nan,nan,3456,0
41,nan,nan,nan,nan,3456,0
42,nan,nan,nan,nan,3456,0
43,nan,nan,nan,nan,3456,0
44,nan,nan,nan,nan,3456,0
45,nan,nan,nan,nan,3456,0
46,nan,nan,nan,nan,3456,0
47,nan,nan,nan,nan,3456,0
48,nan,nan,nan,nan,3456,0
49,nan,nan,nan,nan,3456,0
50,nan,nan,nan,nan,3456,0
51,nan,nan,nan,nan,3456,0
52,nan,nan,nan,nan,3456,0
53,nan,nan,nan,nan,3456,0
54,nan,nan,nan,nan,3456,0
55,nan,nan,nan,nan,3456,0
56,nan,nan,nan,nan,3456,0
57,nan,nan,nan,nan,3456,0
58,nan,nan,nan,nan,3456,0
59,nan,nan,nan,nan,3456,0
60,nan,nan,nan,nan,3456,0
61,nan,nan,nan,nan,3456,0
62,nan,nan,nan,nan,3456,0
63,nan,nan,nan,nan,3456,0
64,nan,nan,nan,nan,3456,0
65,nan,nan,nan,nan,3456,0
66,nan,nan,nan,nan,3456,0
67,nan,nan,nan,nan,3456,0
68,nan,nan,nan,nan,3456,0
69,nan,nan,nan,nan,3456,0
70,nan,nan,nan,nan,3456,0
71,nan,nan,nan,nan,3456,0
72,nan,nan,nan,nan,3456,0
73,nan,nan,nan,nan,3456,0
74,nan,nan,nan,nan,3456,0
75,nan,nan,nan,nan,3456,0
76,nan,nan,nan,nan,3456,0
77,nan,nan,nan,nan,3456,0
78,nan,nan,nan,nan,3456,0
79,nan,nan,nan,nan,3456,0
80,nan,nan,nan,nan,3456,0
81,nan,nan,nan,nan,3456,0
82,nan,nan,nan,nan,3456,0
83,nan,nan,nan,nan,3456,0
84,nan,nan,nan,nan,3456,0
85,nan,nan,nan,nan,3456,0
86,nan,nan,nan,nan,3456,0
87,nan,nan,nan,nan,3456,0
88,nan,nan,nan,nan,3456,0
89,nan,nan,nan,nan,3456,0
90,nan,nan,nan,nan,3456,0
91,nan,nan,nan,nan,3456,0
92,nan,nan,nan,nan,3456,0
93,nan,nan,nan,nan,3456,0
94,nan,nan,nan,nan,3456,0
95,nan,nan,nan,nan,3456,0
96,nan,nan,nan,nan,3456,0
97,nan,nan,nan,nan,3456,0
98,nan,nan,nan,nan,3456,0
99,nan,nan,nan,nan,3456,0
100,nan,nan,nan,nan,3456,0
101,nan,nan,nan,nan,3456,0
102,nan,nan,nan,nan,3456,0
103,nan,nan,nan,nan,3456,0
104,nan,nan,nan,nan,3456,0
105,nan,nan,nan,nan,3456,0
106,nan,nan,nan,nan,3456,0
107,nan,nan,nan,nan,3456,0
108,nan,nan,nan,nan,3456,0
109,nan,nan,nan,nan,3456,0
110,nan,nan,nan,nan,3456,0
111,nan,nan,nan,nan,3456,0
112,nan,nan,nan,nan,3456,0
113,nan,nan,nan,nan,3456,0
114,nan,nan,nan,nan,3456,0
115,nan,nan,nan,nan,3456,0
116,nan,nan,nan,nan,3456,0
117,nan,nan,nan,nan,3456,0
118,nan,nan,nan,nan,3456,0
119,nan,nan,nan,nan,3456,0
120,nan,nan,nan,nan,3456,0
121,nan,nan,nan,nan,3456,0
122,nan,nan,nan,nan,3456,0
123,nan,nan,nan,nan,3456,0
124,nan,nan,nan,nan,3456,0
125,nan,nan,nan,nan,3456,0
126,nan,nan,nan,nan,3456,0
127,nan,nan,nan,nan,3456,0
128,nan,nan,nan,nan,3456,0
129,nan,nan,nan,nan,3456,0
130,nan,nan,nan,nan,3456,0
131,nan,nan,nan,nan,3456,0
132,nan,nan,nan,nan,3456,0
133,nan,nan,nan,nan,3456,0
134,nan,nan,nan,nan,3456,0
135,nan,nan,nan,nan,3456,0
136,nan,nan,nan,nan,3456,0
137,nan,nan,nan,nan,3456,0
138,nan,nan,nan,nan,3456,0
139,nan,nan,nan,nan,3456,0
140,nan,nan,nan,nan,3456,0
141,nan,nan,nan,nan,3456,0
142,nan,nan,nan,nan,3456,0
143,nan,nan,nan,nan,3456,0
144,nan,nan,nan,nan,3456,0
145,nan,nan,nan,nan,3456,0
146,nan,nan,nan,nan,3456,0
147,nan,nan,nan,nan,3456,0
148,nan,nan,nan,nan,3456,0
149,nan,nan,nan,nan,3456,0
150,nan,nan,nan,nan,3456,0
151,nan,nan,nan,nan,3456,0
152,nan,nan,nan,nan,3456,0
153,nan,nan,nan,nan,3456,0
154,nan,nan,nan,nan,3456,0
155,nan,nan,nan,nan,3456,0
156,nan,nan,nan,nan,3456,0
157,nan,nan,nan,nan,3456,0
158,nan,nan,nan,nan,3456,0
159,nan,nan,nan,nan,3456,0
160,nan,nan,nan,nan,3456,0
161,nan,nan,nan,nan,3456,0
162,nan,nan,nan,nan,3456,0
163,nan,nan,nan,nan,3456,0
164,nan,nan,nan,nan,3456,0
165,nan,nan,nan,nan,3456,0
166,nan,nan,nan,nan,3456,0
167,nan,nan,nan,nan,3456,0
168,nan,nan,nan,nan,3456,0
169,nan,nan,nan,nan,3456,0
170,nan,nan,nan,nan,3456,0
171,nan,nan,nan,nan,3456,0
172,nan,nan,nan,nan,3456,0
173,nan,nan,nan,nan,3456,0
174,nan,nan,nan,nan,3456,0
175,nan,nan,nan,nan,3456,0
176,nan,nan,nan,nan,3456,0
177,nan,nan,nan,nan,3456,0
178,nan,nan,nan,nan,3456,0
179,nan,nan,nan,nan,3456,0
180,nan,nan,nan,nan,3456,0
181,nan,nan,nan,nan,3456,0
182,nan,nan,nan,nan,3456,0
183,nan,nan,nan,nan,3456,0
184,nan,nan,nan,nan,3456,0
185,nan,nan,nan,nan,3456,0
186,nan,nan,nan,nan,3456,0
187,nan,nan,nan,nan,3456,0
188,nan,nan,nan,nan,3456,0
189,nan,nan,nan,nan,3456,0
190,nan,nan,nan,nan,3456,0
191,nan,nan,nan,nan,3456,0
192,nan,nan,nan,nan,3456,0
193,nan,nan,nan,nan,3456,0
194,nan,nan,nan,nan,3456,0
195,nan,nan,nan,nan,3456,0
196,nan,nan,nan,nan,3456,0
197,nan,nan,nan,nan,3456,0
198,nan,nan,nan,nan,3456,0
199,nan,nan,nan,nan,3456,0
200,nan,nan,nan,nan,3456,0
201,nan,nan,nan,nan,3456,0
202,nan,nan,nan,nan,3456,0
203,nan,nan,nan,nan,3456,0
204,nan,nan,nan,nan,3456,0
205,nan,nan,nan,nan,3456,0
206,nan,nan,nan,nan,3456,0
207,nan,nan,nan,nan,3456,0
208,nan,nan,nan,nan,3456,0
209,nan,nan,nan,nan,3456,0
210,nan,nan,nan,nan,3456,0
211,nan,nan,nan,nan,3456,0
212,nan,nan,nan,nan,3456,0
213,nan,nan,nan,nan,3456,0
214,nan,nan,nan,nan,3456,0
215,nan,nan,nan,nan,3456,0
216,nan,nan,nan,nan,3456,0
217,nan,nan,nan,nan,3456,0
218,nan,nan,nan,nan,3456,0
219,nan,nan,nan,nan,3456,0
220,nan,nan,nan,nan,3456,0
221,nan,nan,nan,nan,3456,0
222,nan,nan,nan,nan,3456,0
223,nan,nan,nan,nan,3456,0
224,nan,nan,nan,nan,3456,0
225,nan,nan,nan,nan,3456,0
226,nan,nan,nan,nan,3456,0
227,nan,nan,nan,nan,3456,0
228,nan,nan,nan,nan,3456,0
229,nan,nan,nan,nan,3456,0
230,nan,nan,nan,nan,3456,0
231,nan,nan,nan,nan,3456,0
232,nan,nan,nan,nan,3456,0
233,nan,nan,nan,nan,3456,0
234,nan,nan,nan,nan,3456,0
235,nan,nan,nan,nan,3456,0
236,nan,nan,nan,nan,3456,0
237,nan,nan,nan,nan,3456,0
238,nan,nan,nan,nan,3456,0
239,nan,nan,nan,nan,3456,0
240,nan,nan,nan,nan,3456,0
241,nan,nan,nan,nan,3456,0
242,nan,nan,nan,nan,3456,0
243,nan,nan,nan,nan,3456,0
244,nan,nan,nan,nan,3456,0
245,nan,nan,nan,nan,3456,0
246,nan,nan,nan,nan,3456,0
247,nan,nan,nan,nan,3456,0
248,nan,nan,nan,nan,3456,0
249,nan,nan,nan,nan,3456,0
250,nan,nan,nan,nan,3456,0
251,nan,nan,nan,nan,3456,0
252,nan,nan,nan,nan,3456,0
253,nan,nan,nan,nan,3456,0
254,nan,nan,nan,nan,3456,0
255,nan,nan,nan,nan,3456,0
256,nan,nan,nan,nan,3456,0
257,nan,nan,nan,nan,3456,0
258,nan,nan,nan,nan,3456,0
259,nan,nan,nan,nan,3456,0
260,nan,nan,nan,nan,3456,0
261,nan,nan,nan,nan,3456,0
262,nan,nan,nan,nan,3456,0
263,nan,nan,nan,nan,3456,0
264,nan,nan,nan,nan,3456,0
265,nan,nan,nan,nan,3456,0
266,nan,nan,nan,nan,3456,0
267,nan,nan,nan,nan,3456,0
268,nan,nan,nan,nan,3456,0
269,nan,nan,nan,nan,3456,0
270,nan,nan,nan,nan,3456,0
271,nan,nan,nan,nan,3456,0
272,nan,nan,nan,nan,3456,0
273,nan,nan,nan,nan,3456,0
274,nan,nan,nan,nan,3456,0
275,nan,nan,nan,nan,3456,0
276,nan,nan,nan,nan,3456,0
277,nan,nan,nan,nan,3456,0
278,nan,nan,nan,nan,3456,0
279,nan,nan,nan,nan,3456,0
280,nan,nan,nan,nan,3456,0
281,nan,nan,nan,nan,3456,0
282,nan,nan,nan,nan,3456,0
283,nan,nan,nan,nan,3456,0
284,nan,nan,nan,nan,3456,0
285,nan,nan,nan,nan,3456,0
286,nan,nan,nan,nan,3456,0
287,nan,nan,nan,nan,3456,0
288,nan,nan,nan,nan,3456,0
289,nan,nan,nan,nan,3456,0
290,nan,nan,nan,nan,3456,0
291,nan,nan,nan,nan,3456,0
292,nan,nan,nan,nan,3456,0
293,nan,nan,nan,nan,3456,0
294,nan,nan,nan,nan,3456,0
295,nan,nan,nan,nan,3456,0
296,nan,nan,nan,nan,3456,0
297,nan,nan,nan,nan,3456,0
298,nan,nan,nan,nan,3456,0
299,nan,nan,nan,nan,3456,0
