frame,kinetic_energy,potential_energy,total_energy
0,125.0,7838.022534179688,7963.022534179688
1,140.13217163085938,7822.846411132813,7962.978582763672
2,156.128662109375,7806.807763671875,7962.93642578125
3,172.98956298828125,7789.903002929688,7962.8925659179695
4,190.7147979736328,7772.134521484376,7962.849319458009
5,209.30438232421875,7753.502319335938,7962.806701660157
6,228.75833129882812,7734.004003906251,7962.762335205079
7,249.07662963867188,7713.644360351563,7962.720989990235
8,270.2592468261719,7692.418005371094,7962.677252197266
9,292.3062744140625,7670.32733154297,7962.633605957032
10,315.2176818847656,7647.372937011719,7962.590618896485
11,338.9933776855469,7623.553027343751,7962.546405029298
12,363.63348388671875,7598.869995117188,7962.503479003907
13,389.1379089355469,7573.322644042969,7962.460552978516
14,415.5067443847656,7546.910974121094,7962.41771850586
15,442.73992919921875,7519.633789062501,7962.37371826172
16,470.83740234375,7491.493481445313,7962.330883789063
17,499.79931640625,7462.488256835938,7962.287573242188
18,529.6261596679688,7432.619311523438,7962.245471191407
19,560.3173828125,7401.884252929688,7962.201635742188
20,591.873046875,7370.285473632813,7962.158520507813
21,624.2930297851562,7337.824169921875,7962.117199707031
22,657.577392578125,7304.496752929688,7962.074145507813
23,691.7261352539062,7270.306213378907,7962.032348632813
24,726.7392578125,7235.250756835938,7961.990014648438
25,762.6167602539062,7199.330383300782,7961.947143554688
26,799.3587036132812,7162.545690917969,7961.904394531251
27,836.965087890625,7124.895483398438,7961.860571289063
28,875.435791015625,7086.382153320313,7961.817944335938
29,914.7709350585938,7047.005102539063,7961.776037597657
30,954.9705200195312,7006.763134765625,7961.733654785156
31,996.0343017578125,6965.657446289063,7961.691748046876
32,1037.962646484375,6923.685644531251,7961.648291015626
33,1080.75537109375,6880.851318359376,7961.606689453126
34,1124.4124755859375,6837.150878906251,7961.563354492188
35,1168.933837890625,6792.587915039063,7961.521752929688
36,1214.3197021484375,6747.158239746094,7961.477941894532
37,1260.5701904296875,6700.866040039063,7961.43623046875
38,1307.6846923828125,6653.708923339845,7961.393615722657
39,1355.663818359375,6605.688085937501,7961.351904296876
40,1404.5072021484375,6556.802331542969,7961.309533691407
41,1454.21484375,6507.052856445313,7961.267700195313
42,1504.787109375,6456.4384643554695,7961.2255737304695
43,1555.6983642578125,6404.961547851563,7960.659912109376
44,1597.6605224609375,6352.703454589844,7950.363977050782
45,1629.90234375,6299.920190429688,7929.822534179688
46,1661.491943359375,6246.751123046875,7908.24306640625
47,1693.164794921875,6193.245898437501,7886.410693359376
48,1725.9412841796875,6139.438012695313,7865.379296875
49,1759.765869140625,6085.308923339844,7845.074792480469
50,1793.4168701171875,6030.891528320313,7824.308398437501
51,1827.35888671875,5976.204370117188,7803.563256835938
52,1861.5079345703125,5921.2659912109375,7782.77392578125
53,1895.9112548828125,5866.087158203125,7761.9984130859375
54,1930.8037109375,5810.663684082032,7741.467395019532
55,1966.2784423828125,5754.98779296875,7721.2662353515625
56,2002.3917236328125,5699.058288574219,7701.450012207031
57,2039.2130126953125,5642.8656005859375,7682.07861328125
58,2076.864501953125,5586.398962402344,7663.263464355469
59,2115.42578125,5529.642224121094,7645.068005371094
60,2155.005615234375,5472.570861816406,7627.576477050781
61,2195.63720703125,5415.165136718751,7610.802343750001
62,2237.38525390625,5357.406506347656,7594.791760253906
63,2280.2734375,5299.275830078125,7579.549267578125
