frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_cyl
0,125.0,7841.006079101563,7966.006079101563,-0.5,16000,0
1,140.1321563720703,7825.831152343751,7965.963308715821,-0.5293999910354614,16000,0
2,156.12867736816406,7809.79071044922,7965.919387817384,-0.5587999224662781,16000,0
3,172.98956298828125,7792.886547851563,7965.876110839844,-0.5881999731063843,16000,0
4,190.7147674560547,7775.118664550781,7965.833432006836,-0.6175997853279114,16000,0
5,209.3043670654297,7756.485266113282,7965.7896331787115,-0.6469998359680176,16000,0
6,228.75831604003906,7736.988745117188,7965.747061157227,-0.6763997077941895,16000,0
7,249.0766143798828,7716.626708984376,7965.703323364259,-0.7057997584342957,16000,0
8,270.25927734375,7695.400952148438,7965.660229492188,-0.7351996898651123,16000,0
9,292.3062744140625,7673.310876464844,7965.617150878907,-0.764599621295929,16000,0
10,315.2176818847656,7650.355883789063,7965.573565673829,-0.7939996123313904,16000,0
11,338.9934387207031,7626.536572265625,7965.530010986328,-0.8233996033668518,16000,0
12,363.6335144042969,7601.854736328126,7965.488250732423,-0.8527994155883789,16000,0
13,389.137939453125,7576.306188964844,7965.444128417969,-0.8821995258331299,16000,0
14,415.5067138671875,7549.8945190429695,7965.401232910157,-0.911599338054657,16000,0
15,442.7398681640625,7522.617932128906,7965.357800292969,-0.9409993290901184,16000,0
16,470.8374328613281,7494.477624511719,7965.315057373047,-0.9703993797302246,16000,0
17,499.79931640625,7465.471801757813,7965.271118164063,-0.9997993111610413,16000,0
18,529.6260375976562,7435.602258300782,7965.228295898438,-1.0291997194290161,16000,0
19,560.3172607421875,7404.867797851563,7965.185058593751,-1.0586003065109253,16000,0
20,591.8729248046875,7373.269616699219,7965.142541503907,-1.088000774383545,16000,0
21,624.29296875,7340.8071166992195,7965.1000854492195,-1.117401361465454,16000,0
22,657.5772705078125,7307.480297851563,7965.057568359375,-1.1468019485473633,16000,0
23,691.72607421875,7273.289160156251,7965.015234375001,-1.176202416419983,16000,0
24,726.7392578125,7238.234301757813,7964.973559570313,-1.2056028842926025,16000,0
25,762.6167602539062,7202.313330078126,7964.930090332032,-1.2350034713745117,16000,0
26,799.35888671875,7165.528637695313,7964.887524414063,-1.2644041776657104,16000,0
27,836.9652099609375,7127.8796264648445,7964.844836425782,-1.293804407119751,16000,0
28,875.4359130859375,7089.365698242188,7964.801611328126,-1.3232052326202393,16000,0
29,914.77099609375,7049.988647460938,7964.759643554688,-1.3526057004928589,16000,0
30,954.9705810546875,7009.746679687501,7964.717260742188,-1.3820059299468994,16000,0
31,996.0343627929688,6968.640991210938,7964.675354003907,-1.4114068746566772,16000,0
32,1037.9627685546875,6926.669787597657,7964.6325561523445,-1.4408073425292969,16000,0
33,1080.7554931640625,6883.835461425781,7964.590954589844,-1.470207691192627,16000,0
34,1124.41259765625,6840.135620117188,7964.548217773438,-1.4996085166931152,16000,0
35,1168.93408203125,6795.571459960938,7964.505541992188,-1.5290087461471558,16000,0
36,1214.3199462890625,6750.142980957032,7964.462927246094,-1.5584092140197754,16000,0
37,1260.5701904296875,6703.850183105469,7964.420373535157,-1.5878100395202637,16000,0
38,1307.6846923828125,6656.692468261719,7964.377160644532,-1.6172105073928833,16000,0
39,1355.6636962890625,6608.671032714844,7964.334729003906,-1.6466108560562134,16000,0
40,1404.50732421875,6559.7858764648445,7964.2932006835945,-1.6760114431381226,16000,0
41,1454.21484375,6510.035803222657,7964.250646972657,-1.7054119110107422,16000,0
42,1504.787109375,6459.421411132813,7964.208520507813,-1.7348122596740723,16000,0
43,1555.7230224609375,6407.945092773438,7963.668115234375,-1.7639262676239014,16000,0
44,1597.9100341796875,6355.684606933594,7953.594641113282,-1.7871090173721313,16000,0
45,1630.071044921875,6302.895361328126,7932.966406250001,-1.8017268180847168,16000,0
46,1661.5633544921875,6249.721508789063,7911.28486328125,-1.8140815496444702,16000,0
47,1693.0604248046875,6196.213891601563,7889.27431640625,-1.8246376514434814,16000,0
48,1725.66845703125,6142.401818847657,7868.070275878907,-1.835205078125,16000,0
49,1759.0301513671875,6088.277514648438,7847.307666015626,-1.845357894897461,16000,0
50,1792.23486328125,6033.878662109375,7826.113525390625,-1.85431706905365,16000,0
51,1825.787841796875,5979.219616699219,7805.007458496094,-1.8628774881362915,16000,0
52,1859.653076171875,5924.321313476563,7783.974389648438,-1.8709187507629395,16000,0
53,1893.8466796875,5869.187939453125,7763.034619140625,-1.8787496089935303,16000,0
54,1928.572021484375,5813.820690917969,7742.392712402344,-1.8870601654052734,16000,0
55,1963.897216796875,5758.208203125,7722.105419921875,-1.8952336311340332,16000,2
56,1999.9578857421875,5702.349279785157,7702.307165527344,-1.9039751291275024,16000,168
57,2036.87451171875,5646.2259765625,7683.10048828125,-1.9130825996398926,16000,616
